question_id,text,x_corr,y_corr,question_number,question_page,question_text,question_file
0625_s16_qp_21_15,"15  A  beaker  contains  0.500 kg  of  water  at  a  temperature  of  3.0 °C.  The  beaker  is  heated,  and  the 
",49.60640204800001,520.6141342720002,15,7,"A beaker contains 0.500
 kg of water at a temperature of 3.0  °C. The beaker is heated, and the internal energy of the water increases by 21.0
 kJ.  The specific heat capacity of water is 4200
 J / (kg  °C).  What is the temperature of the water after it has been heated? A 5.5
 °C B 10.0  °C C 13.0  °C D 31.5  °C     © UCLES 2016 0625/21/M/J/16",0625_s16_qp_21
0625_s16_qp_21_16,"16  A substance loses thermal energy (heat) to the surroundings at a steady rate. 
 
",49.60629,87.8753171840001,16,8,"A substance loses thermal energy (heat) to the surroundings at a steady rate.  The graph shows how the temperature of the substance changes with time.  
00timetemperaturePQ
  What could the portion PQ of the graph represent? A gas condensing B gas cooling  C liquid cooling D liquid solidifying ",0625_s16_qp_21
0625_s16_qp_21_17,"17  A student wishes to check the upper and the lower fixed points on a Celsius scale thermometer. 
 
",49.60754457599995,424.659984496,17,8,"A student wishes to check the upper and the lo wer fixed points on a Celsius scale thermometer.  
110°C1009080706050403020100–10
  She has four beakers P, Q, R and S.  Beaker P contains a mixture of ice and salt. Beaker Q contains a mixture of ice and water. Beaker R contains boiling salt solution. Beaker S contains boiling water.  Which two beakers should she use to check the fixed points? A P and R B P and S C Q and R D Q and S     © UCLES 2016 0625/21/M/J/16 [Turn over",0625_s16_qp_21
0625_s16_qp_21_18,"18  Two otherwise identical cars, one black and one white, are at the same initial temperature. The 
cars  are  left  in  bright  sunshine  and  their  temperatures  increase.  During  the  night  their 
temperatures decrease. 
",49.60629,100.51808796800016,18,9,"Two otherwise identical cars, one black and one white, are at the same initial temperature. The cars are left in bright sunshine and their temperatures increase. During the night their temperatures decrease.  Which car shows the greater rate of temperature increase and which car shows the greater rate of temperature decrease?   greater rate of temperature increase greater rate of temperature decrease 
A black black 
B black white 
C white black 
D white white 
",0625_s16_qp_21
0625_s16_qp_21_19,"19  A liquid is heated in a beaker. 
 
",49.60629,335.3970587520001,19,9,"A liquid is heated in a beaker.  
heatingliquid
  The density of the liquid changes as its temperature increases. This causes energy to be transferred throughout the liquid.  How does the density change and what is this energy transfer process?   density energy transfer process 
A decreases conduction 
B decreases convection 
C increases conduction 
D increases convection 
",0625_s16_qp_21
0625_s16_qp_21_20,"20  Sound waves of frequency 2.0 kHz travel through a substance at a speed of 800 m / s. 
",49.60629,674.760683824,20,9,"Sound waves of frequency 2.0
 kHz travel through a substance at a speed of 800  m  / s. What is the wavelength of the waves? A 0.40
 m B 2.5  m C 400  m D 1600  m     © UCLES 2016 0625/21/M/J/16",0625_s16_qp_21
0625_s16_qp_21_21,"21  Which row shows the natures of light waves, sound waves and X-rays? 
 
",49.60629,87.8753171840001,21,10,"Which row shows the natures of light waves, sound waves and X-rays?   light waves sound waves X-rays 
A longitudinal longitudinal transverse 
B longitudinal transverse longitudinal 
C transverse longitudinal transverse 
D transverse transverse longitudinal 
",0625_s16_qp_21
0625_s16_qp_21_22,"22  The diagram shows light travelling from air into glass. 
 
",49.60629,243.80965875200013,22,10,"The diagram shows light travelling from air into glass.  Four angles v, w, x and y are shown.  
vwyxnormalairglasslight
  Which formula is used to calculate the refractive index n of the glass? A n = 
yv sin sin B n = xv sin sin C n = 
yw sin sin D n = xw sin sin ",0625_s16_qp_21
0625_s16_qp_21_23,"23  The diagram shows a converging lens forming an image of an object. 
 
",49.60706496,542.014006528,23,10,"The diagram shows a converging lens forming an image of an object.  
imageobjectX
Y
  Which statement about the image is correct? A It is real and can be seen by an eye at X. B It is real and can be seen by an eye at Y. C It is virtual and can be seen by an eye at X. D It is virtual and can be seen by an eye at Y.  1 © UCLES 2016 0625/21/M/J/16 [Turn over",0625_s16_qp_21
0625_s16_qp_21_24,"24  A sound wave travels through air as a series of compressions and rarefactions. 
 
",49.60629,87.8753171840001,24,11,"A sound wave travels through air as a series of compressions and rarefactions.  Which row correctly compares the air pressure in a compression and the air pressure in a rarefaction to the air pressure nearby where there is no sound wave?   air pressure in a compression air pressure in a rarefaction 
A higher higher 
B higher lower 
C lower higher 
D lower lower 
",0625_s16_qp_21
0625_s16_qp_21_25,"25  A sound wave has a certain amplitude and a certain frequency. 
 
",49.60629,295.9105446080001,25,11,A sound wave has a certain amplitude and a certain frequency.  A second sound wave is quieter and lower in pitch than the first sound wave.  The second wave has A a larger amplitude and a greater frequency. B a larger amplitude and a smaller frequency. C a smaller amplitude and a greater frequency. D a smaller amplitude and a smaller frequency. ,0625_s16_qp_21
0625_s16_qp_21_26,"26  What is an electric field? 
",49.606180016,460.4064644480002,26,11,What is an electric field? A a region around a wire carrying an electric current in which a compass needle experiences a force B a region in which an electric charge experiences a force C a region in which an electric charge is attracted by the Earth’s gravity D a region through which electromagnetic radiation is passing    1 © UCLES 2016 0625/21/M/J/16,0625_s16_qp_21
0625_s16_qp_21_27,"27  A negatively charged rod is held close to one side of a metal sphere. The other side of the sphere 
",49.60629,75.23254640000005,27,12,"A negatively charged rod is held close to one side of a metal sphere. The other side of the sphere is earthed.  Which diagram shows the distribution of charge on the metal sphere?  
A––––––––
++––B––––
++++C––––
++++D––––
 ",0625_s16_qp_21
0625_s16_qp_21_28,"28  A cell is connected to a lamp, as shown. 
 
",49.6069248,411.421843648,28,12,"A cell is connected to a lamp, as shown.  
+–
  A charge of 4.0
 C flows through the lamp in 2.0  s.  What is the direction of the electron flow in the lamp and what is the current in the lamp?   direction of electron flow in lamp current
 / A 
A from left to right 2.0 
B from left to right 8.0 
C from right to left 2.0 
D from right to left 8.0 
   1 © UCLES 2016 0625/21/M/J/16 [Turn over",0625_s16_qp_21
0625_s16_qp_21_29,"29  The diagrams show four current-voltage graphs. 
 
",49.60629,87.8753171840001,29,13,"The diagrams show four current-voltage graphs.  Which two graphs show the characteristics of an ohmic resistor and of a filament lamp?  
currentvoltageW currentvoltageX currentvoltageY currentvoltageZ00
000000
   ohmic resistor filament lamp 
A W Y 
B X Y 
C W Z 
D X Z 
",0625_s16_qp_21
0625_s16_qp_21_30,"30  The four circuits shown all include an a.c. power supply, two diodes and a lamp. 
 
",49.60629,399.913754608,30,13,"The four circuits shown all include an a.c. power supply, two diodes and a lamp.  In which circuit is there a rectified current in the lamp?  
A
C DB
    1 © UCLES 2016 0625/21/M/J/16",0625_s16_qp_21
0625_s16_qp_21_31,"31  The diagram shows a combination of logic gates. 
 
",49.60629,87.8753171840001,31,14,"The diagram shows a combination of logic gates.  
input P(= 0) output Xoutput Y input Q(= 1)
  Input P is at a logic state 0 (low) and input Q is at a logic state 1 (high).  What are the logic states at output X and at output Y?   output X output Y 
A 0 0 
B 0  C 1 0 
D 1  ",0625_s16_qp_21
0625_s16_qp_21_32,"32  The diagram shows part of a circuit used to switch street lamps on and off automatically. 
 
",49.60629,401.047468752,32,14,"The diagram shows part of a circuit used to switch street lamps on and off automatically.  
+
–LDR
  In the evening it gets dark.  Which row shows the effect on the resistance of the light-dependent resistor (LDR) and on the potential difference (p.d.) across it?   resistance of LDR p.d. across LDR 
A decreases decreases 
B decreases increases 
C increases decreases 
D increases increases 
   1 © UCLES 2016 0625/21/M/J/16 [Turn over",0625_s16_qp_21
0625_s16_qp_21_33,"33  A domestic circuit includes a 30 A fuse. This protects the wiring if there is too much current in the 
",49.60629,75.23254640000005,33,15,"A domestic circuit includes a 30  A fuse. This protects the wiring if there is too much current in the circuit.  In which wire is the 30
 A fuse positioned, and what does it do when it operates?   position operation 
A live wire disconnects the circuit 
B live wire reduces the current to 30  A 
C neutral wire disconnects the circuit 
D neutral wire reduces the current to 30  A 
",0625_s16_qp_21
0625_s16_qp_21_34,"34  A strong electromagnet is used to attract pins. 
 
",49.60629,281.25534875200015,34,15,"A strong electromagnet is used to attract pins.  
core
pinscoilcurrent
  What happens when the current in the coil is halved? A No pins are attracted. B Some pins are attracted, but not as many. C The same number of pins is attracted. D More pins are attracted.    1 © UCLES 2016 0625/21/M/J/16",0625_s16_qp_21
0625_s16_qp_21_35,"35  The diagram shows a transformer. 
 
",49.60629,87.8753171840001,35,16,"The diagram shows a transformer.  
primary coil800 turnssecondary coil40 turnsinputvoltage output voltage
  
  The input voltage is 240
 V.  What is the output voltage? A 6.0
 V B 12  V C 20  V D 40  V ",0625_s16_qp_21
0625_s16_qp_21_36,"36  The diagram shows a shaded area where the direction of a magnetic field is into the page. 
 
",49.60699279999994,365.699815392,36,16,"The diagram shows a shaded area where the direction of a magnetic field is into the page.  A beam of β-particles enters the field as shown.  
magnetic fieldinto the pagebeam ofβ-particles
  In which direction is the beam of β-particles deflected as they enter the magnetic field? A into the page B out of the page C down the page D up the page    1 © UCLES 2016 0625/21/M/J/16 [Turn over",0625_s16_qp_21
0625_s16_qp_21_37,"37  The arrangement shown is used to check whether the flour inside a cardboard packet is above a 
certain  level.  If  it  is  above  this  level,  the  flour  absorbs  the  radiation  from  the  source  so  that  it 
doesn’t reach the detector. 
",49.60629,100.51808796800016,37,17,"The arrangement shown is used to check whether the flour inside a cardboard packet is above a certain level. If it is above this level, the flour absorbs the radiation from the source so that it doesn’t reach the detector.  
radioactivesourcecardboardpacketdetector
flour
  Which type of radiation is suitable to use? A α-particles only B β-particles only C either α-particles or β-particles D γ-rays only ",0625_s16_qp_21
0625_s16_qp_21_38,"38  A nucleus of americium 
 
",49.60447801600007,420.3218712,38,17,"A nucleus of americium 
Am24395 emits an α-particle to form a nucleus of neptunium (Np).  Which equation represents this decay? A 
Am24395  →  Np24797  +  α42 B 
Am24395  →  Np24396  +  α01- C 
Am24395  →  Np24394  +  α01- D 
Am24395  →  Np23993  +  α42 ",0625_s16_qp_21
0625_s16_qp_21_39,"39  A certain element has several isotopes. 
",49.60607977599997,584.901912768,39,17,A certain element has several isotopes. Which statement about these isotopes is correct? A They must have different numbers of electrons orbiting their nuclei. B They must have the same number of neutrons in their nuclei. C They must have the same number of nucleons in their nuclei. D They must have the same number of protons in their nuclei.    1 © UCLES 2016 0625/21/M/J/16,0625_s16_qp_21
0625_s16_qp_21_40,"40  A  reading  is  taken  every  10  minutes  of  the  number  of  emissions  per  second  from  a  radioactive 
",49.60629,75.23254640000005,40,18,"A reading is taken every 10 minutes of the number of emissions per second from a radioactive source. The table shows the readings.  time
 / min number of emissions per second 
0 800 
10 560 
20 400 
30 280 
40 200 
50 140 
60 100 
 What is the half-life of the source? A 10
 min B 20  min C 40  min D 60  min    1 © UCLES 2016 0625/21/M/J/16  BLANK PAGE       
Permission to reproduce items where third-par ty owned material protected by copyright is  included has been sought and cleared w here possible. Every reasonable effort has been made by the publisher (UCLES) to trace copyright holder s, but if any items requiring clearance have unwittingly been included, the publisher will be pleased to make amends at the earliest possible opportunity.  To avoid the issue of disclosure of answer-related information to candidates, all copyright acknowledgements are reproduced onl ine in the Cambridge International Examinations Copyright Acknowledgements Booklet. This is produced for each series of examinations and is freely a vailable to download at www.cie.org.uk after the live examination series.  Cambridge International Examinations is part of the Cambridge Asse ssment Group. Cambridge Assessment is the brand name of Unive rsity of Cambridge Local Examinations Syndicate (UCLES), which is itself a department of the University of Cambridge.  
© UCLES 2016 0625/21/M/J/16  BLANK PAGE    ",0625_s16_qp_21
0625_w18_qp_23_01,"1  The diagram shows part of a micrometer screw gauge. 
 
",49.62,87.51642000000004,1,2,"The diagram shows part of a micrometer screw gauge.  
0mm1245
40
35
30
  What is the smallest reading that can be achieved using this micrometer screw gauge? A 0.0001
 mm B 0.01  mm C 0.1  mm D 1  mm ",0625_w18_qp_23
0625_w18_qp_23_02,"2  An object falls in a gravitational field with air resistance. 
 
",49.6220762639,275.0762500000001,2,2,"An object falls in a gravitational field with air resistance.  Which distance-time graph shows this motion?  
distancefallentimeA
00distancefallentimeB
00
distancefallentimeC
00distancefallentimeD
00
 ",0625_w18_qp_23
0625_w18_qp_23_03,"3  A boy runs 400 m at an average speed of 4.0 m / s. 
 
",49.62159336010001,652.95643,3,2,"A boy runs 400
 m at an average speed of 4.0  m  / s.  He runs the first 200
 m in 40  s.  How long does he take to run the second 200
 m? A 60
 s B 66.7  s C 80  s D 140  s     © UCLES 2018 0625/23/O/N/18 [Turn over",0625_w18_qp_23
0625_w18_qp_23_04,"4  A  helium  balloon  is  tied  to  a  top-pan  balance.  A  metal  block  of  mass  100 g  is  placed  on  the 
",49.62,74.85648000000003,4,3,"A helium balloon is tied to a top-pan balance. A metal block of mass 100  g is placed on the balance. The reading on the balance is 91
 g.  
91  gmetal blockhelium balloon
  Which statement can be deduced from this experiment? A The balloon exerts a downward force of 0.09
 N on the top-pan balance. B The helium has a mass of –9
 g. C The helium has a mass of +9
 g. D The resultant downward force on the top-pan balance is 0.91
 N. ",0625_w18_qp_23
0625_w18_qp_23_05,"5  A student carries out experiments to find the mass and the volume of four samples of rock. 
 
",49.62224528799993,452.67624,5,3,"A student carries out experiments to find the mass and the volume of four samples of rock.  The graph shows the results.  
20010000 50 100mass
 / g
volume
 / cm3sample P sample Q
sample R sample S
  Which pair are samples of the same type of rock? A P and Q B P and S C R and Q D Q and S     © UCLES 2018 0625/23/O/N/18",0625_w18_qp_23
0625_w18_qp_23_06,"6  An object accelerates from 10 m / s to 30 m / s in 4.0 seconds. 
 
",49.62,87.51642000000004,6,4,"An object accelerates from 10  m  / s to 30  m  / s in 4.0 seconds.  The accelerating force is 150
 N.  What is the mass of the object? A 0.033
 kg B 5.0  kg C 7.5  kg D 30  kg ",0625_w18_qp_23
0625_w18_qp_23_07,"7  The diagram shows a uniform bar of length 120 cm and weight W. The bar is pivoted at a point 
",49.62214303989998,187.05648,7,4,"The diagram shows a uniform bar of length 120
 cm and weight W. The bar is pivoted at a point 40
 cm from the left end of the bar. A load of 
2W is suspended from the right-hand end of the bar. A downward force F is applied to the left-hand end of the bar to keep it in equilibrium.  
pivot bar
F bar’s weightW
W204 0  cm 60  cm 120  cm
  What is the magnitude of force F
 ? A 
2W B W C 23W D 2W ",0625_w18_qp_23
0625_w18_qp_23_08,"8  An electron is moving at a speed of 5 × 106
",49.62094153010008,491.1637016,8,4,"An electron is moving at a speed of 5 × 10
6
 m  / s. A neutron is moving at a speed of 5 × 10
4
 m  / s.  The mass of the electron is m. The mass of the neutron is 2000m.  Which row is correct?   greater momentum greater kinetic energy 
A electron electron 
B electron neutron 
C neutron electron 
D neutron neutron 
    © UCLES 2018 0625/23/O/N/18 [Turn over",0625_w18_qp_23
0625_w18_qp_23_09,"9  Which device is designed to convert chemical energy into kinetic energy? 
",49.62,74.91647999999998,9,5,Which device is designed to convert chemical energy into kinetic energy? A an a.c. generator B a battery-powered torch C a car engine D a wind-up mechanical clock ,0625_w18_qp_23
0625_w18_qp_23_10,"10  A barrel of mass 40 kg is raised to a height of 1.5 m by rolling it up a ramp. The length of the ramp 
is  8.0 m.  The  force  F  applied  to  the  barrel  acts  parallel  to  the  ramp.  The  frictional  force  is 
negligible. 
",49.6198902451,226.71642,10,5,"A barrel of mass 40
 kg is raised to a height of 1.5  m by rolling it up a ramp. The length of the ramp is 8.0
 m. The force F applied to the barrel acts parallel to the ramp. The frictional force is negligible.  
1.5  m8.0 m40
 kgF
  Which row is correct?   gain in gravitational potential energy
 / J force F / N 
A 60 7. B 60 40 
C 600 7 D 600 400 
",0625_w18_qp_23
0625_w18_qp_23_11,"11  What is the main process by which energy is produced in the Sun? 
",49.62,532.8365402,11,5,What is the main process by which energy is produced in the Sun? A combustion B nuclear fission C nuclear fusion D radioactive decay     © UCLES 2018 0625/23/O/N/18,0625_w18_qp_23
0625_w18_qp_23_12,"12  A manometer is used to measure the pressure of a gas supply. 
 
",49.62,87.51642000000004,12,6,"A manometer is used to measure the pressure of a gas supply.  
hconnectionto gas supplymanometerliquid
  Which change gives a greater value of height h
 ? A using a less dense liquid B using a more dense liquid C using a narrower tube D using a wider tube ",0625_w18_qp_23
0625_w18_qp_23_13,"13  A  washbasin  has  an  exit  pipe  covered  with  a  plug  of  area  12 cm2.  A  chain  is  attached  to  the 
centre of the plug to assist in pulling the plug away from the exit hole. The washbasin contains 
water to a depth of 0.080 m. 
",49.62154426010001,391.65649,13,6,"A washbasin has an exit pipe covered with a plug of area 12
 cm2. A chain is attached to the centre of the plug to assist in pulling the plug away from the exit hole. The washbasin contains water to a depth of 0.080
 m.  The density of the water is 1000
 kg  / m3.  
chainplug
  What is the force acting on the plug due to the water? A 0.96
 N B 800  N C 9600  N D 80  000  N     © UCLES 2018 0625/23/O/N/18 [Turn over",0625_w18_qp_23
0625_w18_qp_23_14,"14  Diagram 1 shows apparatus being used to observe smoke particles. 
 
",49.62,87.51642000000004,14,7,"Diagram 1 shows apparatus being used to observe smoke particles.  Diagram 2 shows how a smoke particle moves randomly.  
microscopeair moleculesandsmoke particleslightdiagram 1 diagram 2
randommovementeye
  Why do the smoke particles move randomly? A They are hit by air molecules. B They are less dense than air. C They are moved by convection currents. D They gain energy from the light. ",0625_w18_qp_23
0625_w18_qp_23_15,"15  A  bubble  of  air  has  a  volume  of  2.0 cm3  at  the  bottom  of  a  lake  where  the  total  pressure  is 
 Pa. The temperature of the water in the lake is constant. The atmospheric pressure at 
",49.62236137089997,495.15649,15,7,"A bubble of air has a volume of 2.0
 cm3 at the bottom of a lake where the total pressure is 4.0 × 10
5
 Pa. The temperature of the water in the lake is constant. The atmospheric pressure at the surface is 1.0 × 10
5
 Pa.  What is the volume of the bubble when it rises to the surface? A 0.13
 cm3 B 0.17  cm3 C 6.0  cm3 D 8.0  cm3 ",0625_w18_qp_23
0625_w18_qp_23_16,"16  Which row shows the relative order of thermal expansion of solids, liquids and gases? 
 
",49.62226896499999,608.1359598,16,7,"Which row shows the relative order of thermal expansion of solids, liquids and gases?   most expansion 
 least expansion 
A solids liquids gases 
B solids gases liquids 
C gases solids liquids 
D gases liquids solids 
    © UCLES 2018 0625/23/O/N/18",0625_w18_qp_23
0625_w18_qp_23_17,"17  A block of ice is at a temperature of –100 °C. Energy is supplied at a constant rate. The graph 
",49.62,75.78431999999998,17,8,"A block of ice is at a temperature of –100  °C. Energy is supplied at a constant rate. The graph shows how its temperature changes.  
time2001000–100temperature/
 °C
1234
  At which points has the ice completely changed state to water and all the water completely changed state to steam?   completely changed to water completely changed to steam 
A 1  B 1  C 2  D 2  ",0625_w18_qp_23
0625_w18_qp_23_18,"18  The temperature of the water at the bottom of a waterfall is greater than the temperature of the 
",49.62,448.53636,18,8,"The temperature of the water at the bottom of a waterfall is greater than the temperature of the water at the top.  The gravitational potential energy of the water at the top is transferred to thermal energy at the bottom.  The specific heat capacity of water is 4200
 J / (kg  °C).  What is the temperature difference for a waterfall of height 21
 m? A 0.005
 °C B 0.05  °C C 20  °C D 200  °C ",0625_w18_qp_23
0625_w18_qp_23_19,"19  One end of a shiny metal rod is heated and the other end quickly gets hot. 
 
",49.62189055120001,625.5958598,19,8,One end of a shiny metal rod is heated and the other end quickly gets hot.  Which statement describes why the other end quickly gets hot? A Metals are good thermal conductors. B Metals are poor thermal conductors. C Shiny surfaces are good emitters of infra-red radiation. D Shiny surfaces are poor emitters of infra-red radiation.     © UCLES 2018 0625/23/O/N/18 [Turn over,0625_w18_qp_23
0625_w18_qp_23_20,"20  Four different surfaces are at the same high temperature. 
 
",49.62,87.51642000000004,20,9,"Four different surfaces are at the same high temperature.  Which surface will emit thermal radiation at the slowest rate?   colour of surface texture of surface surface area
 / cm A black dull  B black dull 100 
C white shiny  D white shiny 100 
",0625_w18_qp_23
0625_w18_qp_23_21,"21  Plane water waves travel from a shallow region into a deeper region. They travel more quickly in 
",49.62,269.7360798000001,21,9,"Plane water waves travel from a shallow region into a deeper region. They travel more quickly in the deeper water.  
wavedirectionshallow waterdeep waterboundary
  Which diagram shows the wave pattern in the deeper water?  
ABCD
 ",0625_w18_qp_23
0625_w18_qp_23_22,"22  An object is placed 8.0 cm from a thin converging lens of focal length 5.0 cm. 
 
",49.62189394999996,569.7960298,22,9,"An object is placed 8.0
 cm from a thin converging lens of focal length 5.0  cm.  
5.0  cm8.0
 cmconverging lens
Fobject
  Which statement about the image formed by the lens is correct? A The image is real and inverted. B The image is real and upright. C The image is virtual and inverted. D The image is virtual and upright.   © UCLES 2018 0625/23/O/N/18",0625_w18_qp_23
0625_w18_qp_23_23,"23  Light travels through air and then enters and travels through a parallel-sided glass block. 
 
",49.62,87.51642000000004,23,10,Light travels through air and then enters and travels through a parallel-sided glass block.  Which statement is correct? A The angle of incidence is greater than the angle of refraction as the light leaves the block. B The light emerging from the block is parallel to the light entering the block. C The speed of the light decreases as it leaves the block. D The wavelength of the light does not change as it enters the block. ,0625_w18_qp_23
0625_w18_qp_23_24,"24  Different parts of the electromagnetic spectrum are used for different purposes. Below are four 
",49.61999999999999,226.71635820000017,24,10,Different parts of the electromagnetic spectrum are used for different purposes. Below are four statements about parts of the spectrum.  statement 1: Infra-red waves are used in television remote controllers. statement 2: Radio waves are used to transmit television pictures from satellites to Earth. statement 3: Ultraviolet waves are used for intruder alarms. statement 4: X-rays are used for security checks.  Which statements are correct? A 1 and 2 B 1 and 4 C 2 and 3 D 3 and 4 ,0625_w18_qp_23
0625_w18_qp_23_25,"25  A sheet of ice floats on water. A source of sound S is positioned at the edge of the ice sheet. 
 
",49.61901220590005,429.1559358000004,25,10,"A sheet of ice floats on water. A source of sound S is positioned at the edge of the ice sheet.  Four microphones are placed equal distances from S.  Which microphone detects the sound from S first?  
SA
CDB
iceairwater
    1 © UCLES 2018 0625/23/O/N/18 [Turn over",0625_w18_qp_23
0625_w18_qp_23_26,"26  Which  diagram  shows  the  pattern  and  the  direction  of  the  magnetic  field  lines  around  a  bar 
",49.62,74.85648000000003,26,11,"Which diagram shows the pattern and the direction of the magnetic field lines around a bar magnet?  
SNC
SNDSNA
SNB
 ",0625_w18_qp_23
0625_w18_qp_23_27,"27  A  bar  magnet  is  placed  inside  a  current-carrying  coil.  The  diagram  shows  four  different 
",49.62200029499997,418.11677,27,11,"A bar magnet is placed inside a current-carrying coil. The diagram shows four different experiments.  
magnet slowlyremoved1
magnet slowlyremoved2
current in coilslowly reduced
3+–
current in coilslowly reduced4
+–  In which experiments is the magnet demagnetised? A 1 and 2 B 1 and 3 C 2 and 4 D 3 and 4  1 © UCLES 2018 0625/23/O/N/18",0625_w18_qp_23
