text,x_corr,y_corr,question_file
"B  47.5 cm3 
",170.10708864,278.4766564,0625_m15_qp_12
"C  49.0 cm3 
",269.3477928,278.4766564,0625_m15_qp_12
"D  49.5 cm3 
",368.560306944,278.4766564,0625_m15_qp_12
" 
 
2  The graph represents the motion of a train travelling between two stations. 
 
",49.60732575999998,329.0477395360002,0625_m15_qp_12
"speed
m / s
",131.2294,379.25956869000004,0625_m15_qp_12
"20
",175.931557695,347.4819891929,0625_m15_qp_12
"10
",175.9324,405.80255869,0625_m15_qp_12
"0
",182.70907575,465.3788433051,0625_m15_qp_12
"0
",192.043,477.58475869,0625_m15_qp_12
"100 200 300 400 500
",214.25960980000002,477.58475869,0625_m15_qp_12
"600 700 800 900
",353.4332,477.58475869,0625_m15_qp_12
"time / s
",405.500973005,494.65676869000004,0625_m15_qp_12
" 
",464.2299,498.3884364,0625_m15_qp_12
"Which statement about the train is correct? 
",70.86662479999997,521.348806224,0625_m15_qp_12
"A 
",70.86662479999997,542.559330608,0625_m15_qp_12
"B 
",70.86662479999995,564.187794192,0625_m15_qp_12
"C 
",70.86662479999995,585.844743632,0625_m15_qp_12
"D 
",70.86681440000001,607.5288554399999,0625_m15_qp_12
"Its acceleration takes a longer time than its deceleration. 
",92.09793615999996,544.989977008,0625_m15_qp_12
"It travels at constant speed for less than half of its journey time. 
",92.09793615999996,566.618440592,0625_m15_qp_12
"It travels 2000 m in the first 100 s. 
",92.09793615999996,588.2753900319999,0625_m15_qp_12
"It travels 10 000 m at constant speed. 
",92.09812576000002,609.9600464,0625_m15_qp_12
" 
",49.60671759999997,508.70603544,0625_m15_qp_12
" 
 
",49.606367039999995,635.245587968,0625_m15_qp_12
"© UCLES 2015 
",49.60629,804.11211,0625_m15_qp_12
"0625/12/F/M/15 
",269.693394809,804.11211,0625_m15_qp_12
" 
",545.6933935120001,804.11211,0625_m15_qp_12
"3  A car travels 6.0 km along a main road in 6.0 minutes. It then travels 2.0 km along a minor road in 
",49.60629,75.23254640000005,0625_m15_qp_12
"6.0 minutes. 
",70.86724015999994,87.8753171840001,0625_m15_qp_12
"3 
",294.66141,48.87034640000002,0625_m15_qp_12
" 
",49.60733295999994,100.51808796800015,0625_m15_qp_12
" 
",49.60679625600005,220.16744544000005,0625_m15_qp_12
"6.0 km
",244.3326715500001,139.20604279999998,0625_m15_qp_12
"6.0 minutes
",231.89374025,177.41867806799996,0625_m15_qp_12
"2.0 km
",364.30474000000004,146.13121685599992,0625_m15_qp_12
"6.0 minutes
",354.025049525,171.67423927999994,0625_m15_qp_12
"main
road
",145.7579,206.00629279999998,0625_m15_qp_12
"minor
road
",421.48930952500007,125.45985248,0625_m15_qp_12
" 
",449.7166,209.84984640000005,0625_m15_qp_12
"Which calculation of average speed for the whole journey is correct? 
",70.86670345600005,232.8102162240001,0625_m15_qp_12
"A  8.0 ÷ 12.0 = 0.67 km / minute 
",70.86670345600005,257.16004640000006,0625_m15_qp_12
"B  12.0 ÷ 8.0 = 1.5 km / minute 
",70.866469376,279.6388564,0625_m15_qp_12
"C  8.0 + 12.0 = 20 km / minute 
",70.86658863999997,301.38060350399996,0625_m15_qp_12
"D  8.0 × 12.0 = 96 km / minute 
",70.86690096,323.80299448000005,0625_m15_qp_12
" 
 
4  Two metal blocks P and Q have identical dimensions. They hang on identical spring balances. 
 
",49.606036159999974,374.486693088,0625_m15_qp_12
"N
",347.473405,404.58230533,0625_m15_qp_12
"0
1
2
3
4
5
6
",358.3284,513.90729891,0625_m15_qp_12
"Q
",348.86301,624.88698891,0625_m15_qp_12
" 
",370.7433,631.8151564,0625_m15_qp_12
"N
",237.549305,404.58230533,0625_m15_qp_12
"0
1
2
3
4
5
6
",248.4043,513.90729891,0625_m15_qp_12
"P
",239.64639,604.20988891,0625_m15_qp_12
"What can be deduced about P and Q? 
",70.86642479999996,654.775526224,0625_m15_qp_12
"A  They have different volumes and different weights. 
",70.86642479999996,678.416697008,0625_m15_qp_12
"B  They have different volumes, but equal masses. 
",70.86642479999996,700.045160592,0625_m15_qp_12
"C  They have equal volumes and equal weights. 
",70.86642479999996,721.7021100320001,0625_m15_qp_12
"D  They have equal volumes, but different masses. 
",70.86642479999996,743.386555472,0625_m15_qp_12
" 
",49.60651759999996,642.13275544,0625_m15_qp_12
" 
 
",49.60651759999996,768.67209704,0625_m15_qp_12
"© UCLES 2015 
",49.60629,803.48849,0625_m15_qp_12
"0625/12/F/M/15 
",269.693394809,803.48849,0625_m15_qp_12
"[Turn over 
",491.3008,803.48849,0625_m15_qp_12
"5  A person measures the length, width, height and mass of a metal block with rectangular sides. 
 
",49.60629,87.8753171840001,0625_m15_qp_12
"Which of these measurements must be used in order to calculate the density of the metal? 
",70.8661972,100.51808796800015,0625_m15_qp_12
"4 
",294.66141,48.87034640000002,0625_m15_qp_12
"A  mass only 
",70.8661972,124.13055292800016,0625_m15_qp_12
"B  height and mass only 
",70.8661972,145.7875023680001,0625_m15_qp_12
"C 
",70.8661972,167.44445180800005,0625_m15_qp_12
"D 
",70.8661972,189.101401248,0625_m15_qp_12
"length, width and height only 
",92.08870984,167.44445180800005,0625_m15_qp_12
"length, width, height and mass 
",92.08870984,189.101401248,0625_m15_qp_12
" 
 
6  The diagram shows the only three forces acting on an object. 
 
",49.60629,239.70097024000017,0625_m15_qp_12
"3.0 N
",193.238702016,253.28932921,0625_m15_qp_12
" 
",49.60660904000002,292.36584544000004,0625_m15_qp_12
"What is the resultant force on the object? 
",70.89500209600003,305.0086162240001,0625_m15_qp_12
"2.0 N
",193.238036416,278.23422920999997,0625_m15_qp_12
"5.0 N
",377.22549,265.76181921,0625_m15_qp_12
" 
",402.23621,282.04824640000004,0625_m15_qp_12
"A  0 N 
",70.86651624000002,328.62154640000006,0625_m15_qp_12
"B  5.0 N towards the left 
",70.86611208,350.27849584000006,0625_m15_qp_12
"C  5.0 N towards the right 
",70.86662808,371.93509584000003,0625_m15_qp_12
"D  10.0 N towards the right 
",70.89412408,393.59179584000003,0625_m15_qp_12
" 
 
7  A uniform rod rests on a pivot at its centre. The rod is not attached to the pivot. Forces are then 
",49.60651576000001,431.54834460800004,0625_m15_qp_12
"applied to the rod in four different ways, as shown. The weight of the rod can be ignored. 
",70.86642296000001,444.19111539200003,0625_m15_qp_12
"Which diagram shows the rod in equilibrium? 
",70.86642295999998,469.50514281600005,0625_m15_qp_12
"A
",176.3969,492.48911,0625_m15_qp_12
"C
",176.1929,626.3999,0625_m15_qp_12
"100 N
",244.4973,576.59247639,0625_m15_qp_12
"B
",410.1758,492.48911,0625_m15_qp_12
"D
",410.1758,626.3999,0625_m15_qp_12
"100 N
",322.67841,508.94417639,0625_m15_qp_12
"100 N
",322.53133854500004,643.69746639,0625_m15_qp_12
"100 N
",88.696,576.59247639,0625_m15_qp_12
"100 N
",88.696,646.9182763900001,0625_m15_qp_12
"100 N
",478.47971,508.94417639,0625_m15_qp_12
"100 N
",244.4973,712.37466639,0625_m15_qp_12
"100 N
",322.67841,712.64256639,0625_m15_qp_12
"100 N
",478.47971,712.64256639,0625_m15_qp_12
" 
",506.7213,716.4577464,0625_m15_qp_12
" 
",49.60651575999998,456.86237203200005,0625_m15_qp_12
" 
",49.60651575999998,482.14791360000004,0625_m15_qp_12
" 
 
",49.60689903999997,739.446712064,0625_m15_qp_12
"© UCLES 2015 
",49.60629,804.11211,0625_m15_qp_12
"0625/12/F/M/15 
",269.693394809,804.11211,0625_m15_qp_12
" 
",545.6933935120001,804.11211,0625_m15_qp_12
"5 
",294.66141,48.87034640000002,0625_m15_qp_12
"8  A  helicopter  takes  off  from  the  ground  and  rises  vertically.  It  then  hovers  at  a  constant  height 
",49.60629,75.23254640000005,0625_m15_qp_12
"above the ground. 
",70.86608721599998,87.8753171840001,0625_m15_qp_12
" 
",49.60618001599998,100.51808796800015,0625_m15_qp_12
"Which sequence of energy changes takes place during the gain in height? 
",70.86608721599998,113.1608587520002,0625_m15_qp_12
"A  chemical → gravitational potential → kinetic 
",70.86608721599998,137.53892233600016,0625_m15_qp_12
"B  chemical → kinetic → gravitational potential 
",70.86531732799995,159.9888564160002,0625_m15_qp_12
"C  gravitational potential → chemical → kinetic 
",70.86553729599993,182.46727635200023,0625_m15_qp_12
"D  kinetic → chemical → gravitational potential 
",70.8944630879999,204.97440211200023,0625_m15_qp_12
" 
 
9  Four people of equal weight on a beach use different routes to get to the top of a sea wall. 
 
",49.60607003199985,255.6587687680004,0625_m15_qp_12
"ladder
",376.16605158600004,267.44860171000005,0625_m15_qp_12
"slipway
",163.41088141300003,293.09137393000003,0625_m15_qp_12
"sea wall
",453.042359146,328.7010943490001,0625_m15_qp_12
" 
",493.7386,403.0026564,0625_m15_qp_12
" 
",49.607920224,413.32025544,0625_m15_qp_12
" 
",49.607920224,438.60579700799997,0625_m15_qp_12
"Which person produces the greatest average power? 
",70.867827424,425.963026224,0625_m15_qp_12
"beach
",301.2386,389.3501759,0625_m15_qp_12
"person 
",77.387678944,455.35844990399994,0625_m15_qp_12
"route 
",226.434696224,455.35844990399994,0625_m15_qp_12
"time taken / s 
",372.81130198400007,455.3585464,0625_m15_qp_12
"A 
",90.2267,476.1436,0625_m15_qp_12
"B 
",90.2267,497.1483,0625_m15_qp_12
"C 
",90.2267,518.153,0625_m15_qp_12
"D 
",90.2267,539.1578099999999,0625_m15_qp_12
"runs across the beach, then climbs the ladder 
",127.98420719999999,478.5742464,0625_m15_qp_12
"walks across the beach, then climbs the ladder 
",124.92225263999998,499.5789464,0625_m15_qp_12
"runs up the slipway 
",191.877102336,520.5836464,0625_m15_qp_12
"walks up the slipway 
",188.81525776,541.5884564,0625_m15_qp_12
"8 
",407.50766332800004,478.5742464,0625_m15_qp_12
"16 
",401.38023472,499.5789464,0625_m15_qp_12
"5 
",407.45938035200004,520.5836464,0625_m15_qp_12
"10 
",401.327772352,541.5884564,0625_m15_qp_12
" 
 
10  A vehicle sinks into soft ground. 
 
 
 
",49.60629,619.8543861759999,0625_m15_qp_12
"The vehicle is changed so that it does not sink as far. 
",70.8661972,607.211615392,0625_m15_qp_12
"Which change is made? 
",70.894683056,632.49715696,0625_m15_qp_12
"A  a lower centre of mass 
",70.8661972,656.138327744,0625_m15_qp_12
"B  a more powerful engine 
",70.86619719999999,677.766791328,0625_m15_qp_12
"C  wheels that are further apart 
",70.86619719999999,699.423740768,0625_m15_qp_12
"D  wider tyres 
",70.89479304,721.1091760639999,0625_m15_qp_12
" 
 
",49.606180015999996,746.394717632,0625_m15_qp_12
"© UCLES 2015 
",49.60629,803.48849,0625_m15_qp_12
"0625/12/F/M/15 
",269.693394809,803.48849,0625_m15_qp_12
"[Turn over 
",491.3008,803.48849,0625_m15_qp_12
"6 
",294.66141,48.87034640000002,0625_m15_qp_12
"11  A manometer is used to measure the pressure of a gas trapped in a cylinder. 
 
",49.60629,87.8753171840001,0625_m15_qp_12
"At which labelled point on the diagram is the pressure greatest? 
",70.8661972,100.51808796800015,0625_m15_qp_12
" 
",49.60629,113.1608587520002,0625_m15_qp_12
"gas
",218.79691,156.4958775,0625_m15_qp_12
"cylinder
",208.71486006,169.6928775,0625_m15_qp_12
"D
",399.89310696200005,174.512011475,0625_m15_qp_12
"C
",399.89310696200005,224.6671,0625_m15_qp_12
" 
",411.7323,293.47195639999995,0625_m15_qp_12
"A
",309.4449,224.6671,0625_m15_qp_12
"B
",354.56732512200006,275.82208122500003,0625_m15_qp_12
" 
 
12  Extremely small pollen grains in water are viewed through a microscope. The grains are seen to 
",49.60679046400003,329.10369284800004,0625_m15_qp_12
"move continually and randomly. 
",70.86669766400003,341.77494948800006,0625_m15_qp_12
" 
",49.60679046400003,354.41772027200005,0625_m15_qp_12
"What is the reason for this random movement? 
",70.86669766400003,367.06049105600005,0625_m15_qp_12
"A  The grains are moved by randomly moving water molecules. 
",70.86669766400003,389.9646590560001,0625_m15_qp_12
"B  The grains are moved by random convection currents in the water. 
",70.86669766400003,414.96611195200006,0625_m15_qp_12
"C  The grains are moved by random rays of light reflecting off them. 
",70.86669766400003,439.96756484800005,0625_m15_qp_12
"D  The grains are moved by the random motion of their own atoms. 
",70.86669766400003,465.70591054400006,0625_m15_qp_12
" 
 
13  A gas is compressed in a sealed cylinder by moving a piston. 
 
",49.60679046400003,516.3054795360001,0625_m15_qp_12
"piston
",240.55949,533.75187059,0625_m15_qp_12
"piston
",454.2216,533.75187059,0625_m15_qp_12
"gas
",144.69521,560.57697059,0625_m15_qp_12
"gas
",360.7829,560.57697059,0625_m15_qp_12
"initial position
",127.0828106,619.8911558441,0625_m15_qp_12
"after gas has been compressed
",316.478123945,619.8911558441,0625_m15_qp_12
" 
",484.24249,623.6230464,0625_m15_qp_12
"Which row in the table states what happens to the density of the gas and to the pressure of the 
gas when it is compressed? 
",70.86751601599998,659.254672864,0625_m15_qp_12
" 
",49.60760881599998,633.94064544,0625_m15_qp_12
" 
",49.607608815999995,671.897443648,0625_m15_qp_12
" 
",86.712910896,688.650096544,0625_m15_qp_12
"A 
",82.7433,709.435,0625_m15_qp_12
"B 
",82.7433,730.4397,0625_m15_qp_12
"C 
",82.7433,751.4444,0625_m15_qp_12
"D 
",82.7433,772.42081,0625_m15_qp_12
"density 
",128.917071216,688.650096544,0625_m15_qp_12
"pressure 
",215.86272273600002,688.650096544,0625_m15_qp_12
"decreases 
",120.95394128000001,711.8656464000001,0625_m15_qp_12
"decreases 
",211.89080217600002,711.8656464000001,0625_m15_qp_12
"decreases 
",120.95394128000001,732.8703464,0625_m15_qp_12
"increases 
",213.73314416000002,732.8703464,0625_m15_qp_12
"increases 
",122.79727312,753.8750464,0625_m15_qp_12
"decreases 
",211.892012,753.8750464,0625_m15_qp_12
"increases 
",122.79727312,774.8514564,0625_m15_qp_12
"increases 
",213.723355584,774.8514564,0625_m15_qp_12
"© UCLES 2015 
",49.60629,804.11211,0625_m15_qp_12
"0625/12/F/M/15 
",269.693394809,804.11211,0625_m15_qp_12
" 
",545.6933935120001,804.11211,0625_m15_qp_12
"7 
",294.66141,48.87034640000002,0625_m15_qp_12
"14  When steam condenses it becomes liquid water. When liquid water solidifies it becomes ice. 
 
",49.60629,87.8753171840001,0625_m15_qp_12
"What  happens  to  the  temperature  of  steam  while  it  is  condensing,  and  what  happens  to  the 
temperature of water while it is solidifying? 
",70.8661972,113.1608587520002,0625_m15_qp_12
" 
",49.606290000000016,125.80362953600024,0625_m15_qp_12
" 
",85.06733128000002,149.64266153600022,0625_m15_qp_12
"A 
",81.0992,177.48540000000003,0625_m15_qp_12
"B 
",81.0992,198.49009999999998,0625_m15_qp_12
"C 
",81.0992,219.49480000000005,0625_m15_qp_12
"D 
",81.0992,240.4995,0625_m15_qp_12
"temperature of steam 
while it is condensing 
",108.96355496000001,155.96454185600032,0625_m15_qp_12
"temperature of water 
while it is solidifying 
",234.51029096000002,155.96454185600032,0625_m15_qp_12
"decreases 
",135.86463296,179.91604640000003,0625_m15_qp_12
"decreases 
",135.86463296,200.92074639999998,0625_m15_qp_12
"decreases 
",259.909977376,179.91604640000003,0625_m15_qp_12
"stays the same 
",248.268390944,200.92074639999998,0625_m15_qp_12
"stays the same 
",124.24262368,221.92544640000006,0625_m15_qp_12
"decreases 
",259.893369792,221.92544640000006,0625_m15_qp_12
"stays the same 
",124.24262368,242.9301464,0625_m15_qp_12
"stays the same 
",248.27905939200002,242.9301464,0625_m15_qp_12
" 
 
15  A thermometer has graduations which start at –10 
 
",49.60629,296.73149488,0625_m15_qp_12
"–10 0
",175.4505,309.12601311000003,0625_m15_qp_12
"°C and end at 110 
",315.7795,284.00414639999997,0625_m15_qp_12
"°C. 
",406.11971,284.00414639999997,0625_m15_qp_12
"100 110
",398.436039216,309.12601311000003,0625_m15_qp_12
"°C 
",440.27871453,341.0655464,0625_m15_qp_12
" 
",49.60684336000003,351.38314544,0625_m15_qp_12
" 
",49.60684336000003,376.69717286400004,0625_m15_qp_12
"What is the lower fixed point and what is the upper fixed point of the Celsius scale? 
",70.89523641600003,364.025916224,0625_m15_qp_12
" 
",84.24641414400003,400.50859888,0625_m15_qp_12
"A 
",80.27721,428.37981,0625_m15_qp_12
"B 
",80.27721,449.3562,0625_m15_qp_12
"C 
",80.27721,470.3609,0625_m15_qp_12
"D 
",80.27721,491.36571,0625_m15_qp_12
"lower fixed point 
",106.12993062400002,393.76218032,0625_m15_qp_12
"upper fixed point 
",201.684735488,393.76140696,0625_m15_qp_12
"/ 
",137.39618214400002,407.17032976,0625_m15_qp_12
"°C 
",141.9874,407.1695564,0625_m15_qp_12
"–10 
",132.774662896,430.8104564,0625_m15_qp_12
"–10 
",132.774662896,451.7868464,0625_m15_qp_12
"0 
",144.9917956,472.7915464,0625_m15_qp_12
"0 
",144.9917956,493.7963564,0625_m15_qp_12
"/ 
",233.885851008,407.1695564,0625_m15_qp_12
"°C 
",238.4787,407.1695564,0625_m15_qp_12
"100 
",233.18620545599998,430.8104564,0625_m15_qp_12
"110 
",233.18620545599998,451.7868464,0625_m15_qp_12
"100 
",233.17256744,472.7915464,0625_m15_qp_12
"110 
",233.17256744,493.7963564,0625_m15_qp_12
" 
 
16  What is the name of the process of heat transfer using electromagnetic waves? 
",49.60629,534.133787968,0625_m15_qp_12
"A  conduction 
",70.8661972,557.746252928,0625_m15_qp_12
"B  convection 
",70.86619719999999,579.4032023679999,0625_m15_qp_12
"C  evaporation 
",70.86619719999999,601.060151808,0625_m15_qp_12
"D 
",70.89479304,620.286454848,0625_m15_qp_12
"radiation 
",92.15470024,622.7171012480001,0625_m15_qp_12
" 
 
",49.606180015999996,648.031128672,0625_m15_qp_12
"© UCLES 2015 
",49.60629,803.48849,0625_m15_qp_12
"0625/12/F/M/15 
",269.693394809,803.48849,0625_m15_qp_12
"[Turn over 
",491.3008,803.48849,0625_m15_qp_12
"17  Ice is trapped by a metal gauze at the bottom of a tube containing water. 
 
",49.60629,87.8753171840001,0625_m15_qp_12
"The water is heated strongly at the top, but the ice only melts very slowly. 
",70.894683056,100.51808796800015,0625_m15_qp_12
"8 
",294.66141,48.87034640000002,0625_m15_qp_12
" 
",49.60629,113.1608587520002,0625_m15_qp_12
" 
",49.607673120000015,272.80683544,0625_m15_qp_12
"heat
",189.60789,217.83330709999996,0625_m15_qp_12
"water boiling
",299.63058811,142.88822460099993,0625_m15_qp_12
"metal gauze
",363.87639948000003,204.34283831099992,0625_m15_qp_12
"ice
",384.12501085,237.79448758099988,0625_m15_qp_12
" 
",424.7433,262.4892364,0625_m15_qp_12
"Why does the ice melt so slowly? 
",70.86758032000002,285.47809208,0625_m15_qp_12
"A  Heat energy always travels upwards. 
",70.86758032000002,309.09055704,0625_m15_qp_12
"B  Hot water is more dense than cold water. 
",70.86758032,330.74750647999997,0625_m15_qp_12
"C  Metal gauze does not allow heat to pass through. 
",70.86758032,352.37597006399994,0625_m15_qp_12
"D  Water is a poor conductor of heat. 
",70.86758032,374.06041550399993,0625_m15_qp_12
" 
 
18  A transverse wave moves along a rope. 
 
",49.60767312000001,424.65998449599994,0625_m15_qp_12
"The diagram shows the position of the rope at one particular time. 
",70.86758032,437.30275527999993,0625_m15_qp_12
"rope
",202.6554,462.55445019999996,0625_m15_qp_12
"W X
",167.5284,514.8762402,0625_m15_qp_12
"Y
",268.99132527800003,514.8762402,0625_m15_qp_12
"Z
",319.040719717,514.8762402,0625_m15_qp_12
" 
",473.726,537.2798464,0625_m15_qp_12
"Which two labelled points are one wavelength apart? 
",70.86670624,560.240216224,0625_m15_qp_12
"A  W and X 
",70.86670624,583.909872864,0625_m15_qp_12
"B  W and Z 
",170.10746912000002,583.909872864,0625_m15_qp_12
"C  X and Z 
",269.348122016,583.909872864,0625_m15_qp_12
"D  Y and Z 
",368.560289056,583.909872864,0625_m15_qp_12
" 
",49.60767312,449.9455260639999,0625_m15_qp_12
" 
",49.60679904,547.59744544,0625_m15_qp_12
" 
 
",49.60668905599999,609.195414432,0625_m15_qp_12
"© UCLES 2015 
",49.60629,804.11211,0625_m15_qp_12
"0625/12/F/M/15 
",269.693394809,804.11211,0625_m15_qp_12
" 
",545.6933935120001,804.11211,0625_m15_qp_12
"19  The diagram shows a water wave passing through a gap in a harbour wall. The wavefronts curve 
",49.60629,75.23254640000005,0625_m15_qp_12
"round the wall and reach a small boat in the harbour. 
",70.8661972,87.8753171840001,0625_m15_qp_12
"9 
",294.66141,48.87034640000002,0625_m15_qp_12
" 
",49.60629,100.51808796800015,0625_m15_qp_12
" 
",49.60765455999996,269.17874127999994,0625_m15_qp_12
" 
",49.60765455999997,307.1070536320001,0625_m15_qp_12
"wavefront
",177.7323,148.35048170000005,0625_m15_qp_12
"harbour wall
",330.1183,112.87848170000007,0625_m15_qp_12
"harbour
",379.115000851,180.07549170000004,0625_m15_qp_12
"gap
",258.0208,239.0290817,0625_m15_qp_12
"boat
",350.78371,255.01648169999999,0625_m15_qp_12
" 
",417.7417,258.83254639999996,0625_m15_qp_12
"What is the name of this curving effect, and how can the gap be changed so that the wavefronts 
do not reach the boat? 
",70.86756175999996,294.46428284800004,0625_m15_qp_12
" 
",85.06869583999998,323.6046536320001,0625_m15_qp_12
"A 
",81.0992,344.1342,0625_m15_qp_12
"B 
",81.0992,365.1389,0625_m15_qp_12
"C 
",81.0992,386.1436,0625_m15_qp_12
"D 
",81.0992,407.1483,0625_m15_qp_12
"name of effect 
",127.15396345599999,323.6046536320001,0625_m15_qp_12
"change to the gap 
",259.014550944,323.6046536320001,0625_m15_qp_12
"diffraction 
",138.15999904,346.5648464,0625_m15_qp_12
"make the gap slightly bigger 
",234.595949952,346.5648464,0625_m15_qp_12
"diffraction 
",138.15999904,367.5695464,0625_m15_qp_12
"make the gap slightly smaller 
",232.1677232,367.5695464,0625_m15_qp_12
"refraction 
",139.095852896,388.5742464,0625_m15_qp_12
"make the gap slightly bigger 
",234.598149632,388.5742464,0625_m15_qp_12
"refraction 
",139.095852896,409.5789464,0625_m15_qp_12
"make the gap slightly smaller 
",232.168713056,409.5789464,0625_m15_qp_12
" 
 
20  Which labelled distance is the focal length of the lens? 
 
",49.60629,462.55944460800004,0625_m15_qp_12
"A
",157.4765,472.5804,0625_m15_qp_12
"B
",441.0396,472.5804,0625_m15_qp_12
"C
",199.2702,624.99159,0625_m15_qp_12
" 
 
",49.607728816000076,763.852716224,0625_m15_qp_12
"D
",519.6174,690.7413,0625_m15_qp_12
" 
",528.23621,740.8923464,0625_m15_qp_12
"© UCLES 2015 
",49.60629,803.48849,0625_m15_qp_12
"0625/12/F/M/15 
",269.693394809,803.48849,0625_m15_qp_12
"[Turn over 
",491.3008,803.48849,0625_m15_qp_12
"21  A ray of light is reflected by two parallel plane mirrors X and Y. 
 
",49.60629,87.8753171840001,0625_m15_qp_12
"mirror X 
",360.9675,98.67744629999993,0625_m15_qp_12
"10 
",291.60001,48.87034640000002,0625_m15_qp_12
"30°
",335.4857,131.68064629999992,0625_m15_qp_12
"30°
",309.65981320000003,187.89642343999992,0625_m15_qp_12
"mirror Y 
",309.47152329999994,211.18479540299995,0625_m15_qp_12
" 
",428.7401,215.2073464,0625_m15_qp_12
"eye
",166.7338,200.4348463,0625_m15_qp_12
" 
",49.60765455999996,225.52494544,0625_m15_qp_12
"Which statement is correct? 
",70.86756175999996,238.16771622400006,0625_m15_qp_12
"A  The angle of incidence at mirror X is 30°. 
",70.86756175999996,262.51707398400004,0625_m15_qp_12
"B  The angle of incidence at mirror Y is 60°. 
",70.86778172799993,284.99549392000006,0625_m15_qp_12
"C  The angle of reflection at mirror X is 120°. 
",70.86800169599988,307.4739138560001,0625_m15_qp_12
"D  The angle of reflection at mirror Y is 0°. 
",70.86822166399992,329.9810396160001,0625_m15_qp_12
" 
 
22  How do infra-red waves differ from ultraviolet waves? 
",49.60842444799988,368.0224155200001,0625_m15_qp_12
"A 
",70.86833164799988,389.2042340800001,0625_m15_qp_12
"B 
",70.86833164799987,410.8611835200001,0625_m15_qp_12
"C 
",70.86822166399986,432.5181329600001,0625_m15_qp_12
"D 
",70.89681750399987,454.1750824000001,0625_m15_qp_12
"Infra-red waves are longitudinal. 
",92.09964300799987,391.6348804800001,0625_m15_qp_12
"Infra-red waves have a lower speed in vacuo (in a vacuum). 
",92.09964300799987,413.2918299200001,0625_m15_qp_12
"Infra-red waves have lower frequencies. 
",92.09953302399987,434.9487793600001,0625_m15_qp_12
"Infra-red waves have smaller wavelengths. 
",92.15672470399987,456.6057288000001,0625_m15_qp_12
