question_id,text,x_corr,y_corr,question_number,question_text,question_file,question_page,category,text_new,duplicate
0625_m15_qp_12_11,"11  A manometer is used to measure the pressure of a gas trapped in a cylinder. 
 
",49.60629,87.87531718,11,A manometer is used to measure the pressure of a gas trapped in a cylinder   At which labelled point on the diagram is the pressure greatest?   gascylinder ACD B  ,0625_m15_qp_12,6,180,"Amanometerisusedtomeasurethepressureofagastrappedinacylinder.

",0
0625_m15_qp_12_12,"12  Extremely small pollen grains in water are viewed through a microscope. The grains are seen to 
",49.60679046,329.1036928,12,Extremely small pollen grains in water are viewed through a microscope  The grains are seen to move continually and randomly   What is the reason for this random movement? A The grains are moved by randomly moving water molecules  B The grains are moved by random convection currents in the water  C The grains are moved by random rays of light reflecting off them  D The grains are moved by the random motion of their own atoms  ,0625_m15_qp_12,6,210,"Extremelysmallpollengrainsinwaterareviewedthroughamicroscope.Thegrainsareseento
",0
0625_m15_qp_12_13,"13  A gas is compressed in a sealed cylinder by moving a piston. 
 
",49.60679046,516.3054795,13,A gas is compressed in a sealed cylinder by moving a piston    gasinitial positionpiston gasafter gas has been compressedpiston   Which row in the table states what happens to t he density of the gas and to the pressure of the gas when it is compressed?   density pressure  A decreases decreases  B decreases increases  C increases decreases  D increases increases   © UCLES          /  /F/M/   [Turn over,0625_m15_qp_12,6,210,"Agasiscompressedinasealedcylinderbymovingapiston.

",0
0625_m15_qp_12_14,"14  When steam condenses it becomes liquid water. When liquid water solidifies it becomes ice. 
 
",49.60629,87.87531718,14,"When steam condenses it becomes liquid water  When liquid water solidifies it becomes ice   What happens to the temperature of steam while  it is condensing, and what happens to the temperature of water while it is solidifying?   temperature of steam while it is condensing temperature of water while it is solidifying  A decreases decreases  B decreases stays the same  C stays the same decreases  D stays the same stays the same  ",0625_m15_qp_12,7,220,"Whensteamcondensesitbecomesliquidwater.Whenliquidwatersolidifiesitbecomesice.

",0
0625_m15_qp_12_15,"15  A thermometer has graduations which start at –10 
 
",49.60629,296.7314949,15,A thermometer has graduations which start at –    °C and end at      °C    –             °C   What is the lower fixed point and what is the upper fixed point of the Celsius scale?   lower fixed point /  °C upper fixed point /  °C  A –        B –     C        D     ,0625_m15_qp_12,7,220,"Athermometerhasgraduationswhichstartat–

",0
0625_m15_qp_12_16,"16  What is the name of the process of heat transfer using electromagnetic waves? 
",49.60629,534.133788,16,What is the name of the process of heat transfer using electromagnetic waves? A conduction B convection C evaporation D radiation     © UCLES          /  /F/M/  ,0625_m15_qp_12,7,230,"Whatisthenameoftheprocessofheattransferusingelectromagneticwaves?
",0
0625_m15_qp_12_17,"17  Ice is trapped by a metal gauze at the bottom of a tube containing water. 
 
",49.60629,87.87531718,17,"Ice is trapped by a metal gauze at the bottom of a tube containing water   The water is heated strongly at the top, but the ice only melts very slowly    heatwater boilingmetal gauzeice   Why does the ice melt so slowly? A Heat energy always travels upwards  B Hot water is more dense than cold water  C Metal gauze does not allow heat to pass through  D Water is a poor conductor of heat  ",0625_m15_qp_12,8,230,"Iceistrappedbyametalgauzeatthebottomofatubecontainingwater.

",0
0625_m15_qp_12_18,"18  A transverse wave moves along a rope. 
 
",49.60767312,424.6599845,18,A transverse wave moves along a rope   The diagram shows the position of the rope at one particular time    WX Y Zrope   Which two labelled points are one wavelength apart? A W and X B W and Z C X and Z D Y and Z     © UCLES          /  /F/M/   [Turn over,0625_m15_qp_12,8,310,"Atransversewavemovesalongarope.

",0
0625_m15_qp_12_19,"19  The diagram shows a water wave passing through a gap in a harbour wall. The wavefronts curve 
",49.60629,75.2325464,19,"The diagram shows a water wave passing through a gap in a harbour wall  The wavefronts curve round the wall and reach a small boat in the harbour    boatharbour wallharbou rwavefront gap   What is the name of this curving effect, and how can the gap be changed so that the wavefronts do not reach the boat?   name of effect change to the gap  A diffraction make the gap slightly bigger  B diffraction make the gap slightly smaller  C refraction make the gap slightly bigger  D refraction make the gap slightly smaller  ",0625_m15_qp_12,9,310,"Thediagramshowsawaterwavepassingthroughagapinaharbourwall.Thewavefrontscurve
",0
0625_m15_qp_12_20,"20  Which labelled distance is the focal length of the lens? 
 
",49.60629,462.5594446,20,Which labelled distance is the focal length of the lens?   A CB D      © UCLES          /  /F/M/  ,0625_m15_qp_12,9,320,"Whichlabelleddistanceisthefocallengthofthelens?

",0
0625_m15_qp_12_21,"21  A ray of light is reflected by two parallel plane mirrors X and Y. 
 
",49.60629,87.87531718,21,A ray of light is reflected by two parallel plane mirrors X and Y    mirror X  mirror Y    °  ° eye   Which statement is correct? A The angle of incidence at mirror X is    °  B The angle of incidence at mirror Y is    °  C The angle of reflection at mirror X is     °  D The angle of reflection at mirror Y is  °  ,0625_m15_qp_12,10,320,"ArayoflightisreflectedbytwoparallelplanemirrorsXandY.

",0
0625_m15_qp_12_22,"22  How do infra-red waves differ from ultraviolet waves? 
",49.60842445,368.0224155,22,How do infra-red waves differ from ultraviolet waves? A Infra-red waves are longitudinal  B Infra-red waves have a lower speed in vacuo (in a vacuum)  C Infra-red waves have lower frequencies  D Infra-red waves have smaller wavelengths  ,0625_m15_qp_12,10,330,"Howdoinfra-redwavesdifferfromultravioletwaves?
",0
0625_m15_qp_12_23,"23  What is the approximate range of audible sound frequencies for a human with good hearing? 
",49.60820448,494.562527,23,What is the approximate range of audible sound frequencies for a human with good hearing? A from     Hz to       Hz B from     Hz to          Hz C from      Hz to          Hz D from      Hz to           Hz      © UCLES          /  /F/M/   [Turn over,0625_m15_qp_12,10,340,"Whatistheapproximaterangeofaudiblesoundfrequenciesforahumanwithgoodhearing?
",0
0625_m15_qp_12_24,"24  A pulse of sound is produced at the bottom of a boat. The sound travels through the water and is 
reflected from the sea-bed. The sound reaches the boat again after 1.3 s. The sea-bed is 1000 m 
below the boat. 
",49.60629,100.5177272,24,"A pulse of sound is produced at the bottom of a boat  The sound travels through the water and is reflected from the sea-bed  The sound reaches the boat again after      s  The sea-bed is       m below the boat    sea-bedboat       m   Using this information, what is the speed of sound in the water? A      m  / s B       m  / s C       m  / s D       m  / s ",0625_m15_qp_12,11,340,"Apulseofsoundisproducedatthebottomofaboat.Thesoundtravelsthroughthewaterandis
reflectedfromthesea-bed.Thesoundreachestheboatagainafter.s.Thesea-bedism
belowtheboat.
",0
0625_m15_qp_12_25,"25  Which metal is suitable to use to make a permanent magnet? 
",49.6071028,320.0617446,25,Which metal is suitable to use to make a permanent magnet? A aluminium B brass C iron D steel ,0625_m15_qp_12,11,410,"Whichmetalissuitabletousetomakeapermanentmagnet?
",0
0625_m15_qp_12_26,"26  The diagram shows two magnets and two iron rods placed in a line. 
 
",49.60699282,459.2446269,26,The diagram shows two magnets and two iron rods placed in a line    NSmagnet ironrod NSmagnet J ironrod K   Which magnetic poles are induced at the ends J and K of the iron rods?   pole induced at end J pole induced at end K  A N N  B N S  C S N  D S S       © UCLES          /  /F/M/  ,0625_m15_qp_12,11,410,"Thediagramshowstwomagnetsandtwoironrodsplacedinaline.

",0
0625_m15_qp_12_27,"27  A teacher wishes to show the production of electrostatic charges. 
 
",49.60629,87.87531718,27,"A teacher wishes to show the production of electrostatic charges   She holds a rod and rubs it with a cotton cloth  A copper rod, a glass rod, a plastic rod and a steel rod are available   Which two rods would both be suitable to use? A a copper rod and a glass rod B a glass rod and a plastic rod C a plastic rod and a copper rod D a plastic rod and a steel rod ",0625_m15_qp_12,12,420,"Ateacherwishestoshowtheproductionofelectrostaticcharges.

",0
0625_m15_qp_12_28,"28  A student wishes to determine the resistance of a resistor. She uses an ammeter and a voltmeter 
",49.60629,265.0149977,28,A student wishes to determine the resistance of a resistor  She uses an ammeter and a voltmeter in a circuit  In which circuit are the ammeter and voltmeter connected correctly?   A VA A V AVB C A VD       © UCLES          /  /F/M/   [Turn over,0625_m15_qp_12,12,430,"Astudentwishestodeterminetheresistanceofaresistor.Sheusesanammeterandavoltmeter
",0
0625_m15_qp_12_29,"29  A battery is connected to two crocodile clips and a lamp. 
 
",49.60568834,87.87531718,29,"A battery is connected to two crocodile clips and a lamp   There is a gap between the crocodile clips    crocodile clips  Four cylinders W, X, Y and Z are made of the same metal but have different dimensions  The cylinders are connected in turn, by their ends, between the crocodile clips  The diagrams of the cylinders are all drawn to the same scale    WXYZ   Which cylinder makes the lamp glow most brightly and which cylinder makes the lamp glow least brightly?   most brightly least brightly  A W Y  B W Z  C X Y  D X Z       © UCLES          /  /F/M/  ",0625_m15_qp_12,13,420,"Abatteryisconnectedtotwocrocodileclipsandalamp.

",0
0625_m15_qp_12_30,"30  In which circuit can the lamps be switched on and off independently? 
 
",49.60629,87.87531718,30,In which circuit can the lamps be switched on and off independently?   A B D C  ,0625_m15_qp_12,14,430,"Inwhichcircuitcanthelampsbeswitchedonandoffindependently?

",0
0625_m15_qp_12_31,"31  Two resistors, with resistances R1 and R2, are connected in parallel. 
 
",49.6071216,449.4627172,31,"Two resistors, with resistances R   and R  , are connected in parallel   The resistance R   is greater than the resistance R      R  R    What is the resistance of the parallel combination? A less than either R   or R   B equal to R   C equal to R   D the average of R   and R        © UCLES          /  /F/M/   [Turn over",0625_m15_qp_12,14,430,"Tworesistors,withresistancesRandR,areconnectedinparallel.

",0
0625_m15_qp_12_32,"32  In the circuit shown, the switch is closed for a long time, then opened. 
 
",49.60629,87.87531718,32,"In the circuit shown, the switch is closed for a long time, then opened    V V V voltmeter  voltmeter   voltmeter    resistor capacitor  Immediately after the switch is opened, which of the voltmeters reads zero? A voltmeter   only B voltmeter   only C voltmeter   only D voltmeter  , voltmeter   and voltmeter   ",0625_m15_qp_12,15,430,"Inthecircuitshown,theswitchisclosedforalongtime,thenopened.

",0
0625_m15_qp_12_33,"33  Either a fuse or a circuit-breaker can be used to protect electrical cables from large currents that 
",49.60677912,430.6975578,33,"Either a fuse or a circuit-breaker can be used to protect electrical cables from large currents that could cause overheating    electricalsupplyXY appliance cable cableliveneutral   When a fuse is used, where should it be connected, and when a circuit-breaker is used, where should it be connected?   position of fuse position of circuit-breaker  A X X  B X Y  C Y X  D Y Y       © UCLES          /  /F/M/  ",0625_m15_qp_12,15,440,"Eitherafuseoracircuit-breakercanbeusedtoprotectelectricalcablesfromlargecurrentsthat
",0
0625_m15_qp_12_34,"34  Which device uses slip rings? 
",49.60629,75.2325464,34,Which device uses slip rings? A a d c  electric motor B a relay C a transformer D an a c  generator ,0625_m15_qp_12,16,450,"Whichdeviceusessliprings?
",0
0625_m15_qp_12_35,"35  The diagram shows a coil of wire connected to a voltmeter. 
 
",49.60618002,214.4144388,35,The diagram shows a coil of wire connected to a voltmeter    Vcoil of wire   A student has a magnet and an unmagnetised iron rod  How can an e m f  be induced across the coil? A holding the magnet inside the coil B holding the iron rod inside the coil C pushing the magnet into the coil D pushing the iron rod into the coil ,0625_m15_qp_12,16,450,"Thediagramshowsacoilofwireconnectedtoavoltmeter.

",0
0625_m15_qp_12_36,"36  A step-down transformer is used to light a 12 V lamp from a 240 V mains supply. The lamp lights 
",49.60658048,499.8914286,36,A step-down transformer is used to light a     V lamp from a      V mains supply  The lamp lights at normal brightness  The primary coil has     turns         V     V lampprimary coil    turns secondary coil   How many turns are in the secondary coil? A    B    C    D         © UCLES          /  /F/M/  ,0625_m15_qp_12,16,450,"Astep-downtransformerisusedtolightaVlampfromaVmainssupply.Thelamplights
",0
0625_m15_qp_12_37,"37  What happens in the process of thermionic emission? 
",49.60629,75.2325464,37,What happens in the process of thermionic emission? A Complete molecules are emitted from the surface of a hot liquid  B Single atoms are emitted from the surface of a hot liquid  C Electrons are emitted from the surface of a hot metal  D Protons are emitted from the surface of a hot metal  ,0625_m15_qp_12,17,230,"Whathappensintheprocessofthermionicemission?
",0
0625_m15_qp_12_38,"38  Which  row  shows  the  relative  ionising  effects  and  penetrating  abilities  of  α-particles  and  
",49.60618002,202.5085608,38,Which row shows the relative ionising effects and penetrating abilities of α-particles and  β-particles?   ionising effect penetrating ability  A α greater than β α greater than β  B α greater than β α less than β  C α less than β α greater than β  D α less than β α less than β  ,0625_m15_qp_12,17,520,"Whichrowshowstherelativeionisingeffectsandpenetratingabilitiesofα-particlesand
",0
0625_m15_qp_12_39,"39  A radioactive substance has a half-life of 2 weeks. At the beginning of an investigation, a sample 
",49.60629,372.0205638,39,"A radioactive substance has a half-life of   weeks  At the beginning of an investigation, a sample of the substance emits      β-particles per minute   How many β-particles will it emit per minute after   weeks? A   B     C     D      ",0625_m15_qp_12,17,520,"Aradioactivesubstancehasahalf-lifeofweeks.Atthebeginningofaninvestigation,asample
",0
0625_m15_qp_12_40,"40  A nuclide has the symbol  C14
 
",49.60658352,492.2084712,40,"A nuclide has the symbol  C      How many protons are there in one nucleus of this nuclide? A   B   C    D         © UCLES          /  /F/M/    BLANK PAGE    © UCLES          /  /F/M/    BLANK PAGE     Permission to reproduce items where third-par ty owned material protected by copyright is included has been sought and cleared w here possible  Every reasonable effort has been made by the publisher (UCLES) to t race copyright holders, but if any items requiring clearance have unwittingly been included, the publisher will be pleased to make amends at the earliest possible opportunity   To avoid the issue of disclosure of answer-related information to candidates, all copyright acknowledgements are reproduced onl ine in the Cambridge International Examinations Copyright Acknowledgements Booklet  This is  produced for each series of examinations and is freely a vailable to download at www cie org uk after the live examination series   Cambridge International Examinations is part of the Cambridge A ssessment Group  Cambridge Assessment is the brand name of Unive rsity of Cambridge Local Examinations Syndicate (UCLES), which is itself a department of the University of Cambridge    © UCLES          /  /F/M/    BLANK PAGE ",0625_m15_qp_12,17,510,"AnuclidehasthesymbolC

",0
0625_m16_qp_22_01,"1  The diameter of a copper wire is thought to be approximately 0.3 mm. 
 
",49.60629,87.87531718,1,The diameter of a copper wire is thought to be approximately      mm   Which instrument should be used to obtain a more accurate measurement of the diameter of the wire? A measuring tape B metre rule C micrometer D ruler ,0625_m16_qp_22,2,110,"Thediameterofacopperwireisthoughttobeapproximately.mm.

",0
0625_m16_qp_22_02,"2  Which is a unit of acceleration? 
",49.6073309,239.7002004,2,Which is a unit of acceleration? A g  / cm  B m  / s C m  / s  D N  / m ,0625_m16_qp_22,2,120,"Whichisaunitofacceleration?
",0
0625_m16_qp_22_03,"3  An  object  is  released  from  rest  and  falls  to  Earth.  During  its  fall,  the  object  is  affected  by  air 
",49.60674408,301.2962588,3,"An object is released from rest and falls to Earth  During its fall, the object is affected by air resistance  The air resistance eventua lly reaches a constant value   Which description about successive stages of the motion of the object is correct? A constant acceleration, then constant deceleration B constant deceleration, then zero acceleration C decreasing acceleration, then constant deceleration D decreasing acceleration, then zero acceleration ",0625_m16_qp_22,2,120,"AnobjectisreleasedfromrestandfallstoEarth.Duringitsfall,theobjectisaffectedbyair
",0
0625_m16_qp_22_04,"4  A concrete post is carried up a very high mountain. At the top of the mountain, the gravitational 
",49.60674408,465.7931684,4,"A concrete post is carried up a very high mountain  At the top of the mountain, the gravitational field is slightly weaker than at the bottom   What is the effect of this weaker field on the mass and on the weight of the post at the top of the mountain?   mass weight  A is less is less  B is less is unchanged  C is unchanged is less  D is unchanged is unchanged      © UCLES          /  /F/M/   [Turn over",0625_m16_qp_22,2,130,"Aconcretepostiscarriedupaveryhighmountain.Atthetopofthemountain,thegravitational
",0
0625_m16_qp_22_05,"5  The diagram shows a cuboid block made from a metal of density 2.5 g / cm3. 
 
",49.60629,87.87531718,5,The diagram shows a cuboid block made from a metal of density      g / cm          cm     cm   cm   What is the mass of the block? A      g B     g C     g D      g ,0625_m16_qp_22,3,220,"Thediagramshowsacuboidblockmadefromametalofdensity.g/cm.

",0
0625_m16_qp_22_06,"6  The  diagram  shows  an  object  moving  at  a  constant  speed  in  a  circular  path  in  the  direction 
",49.60698352,283.7498588,6,"The diagram shows an object moving at a constant speed in a circular path in the direction shown   A force acts on the object to keep it in the circular path   In which labelled direction does this force act, when the object is in the position shown?   ACDBobject path ofobject      © UCLES          /  /F/M/  ",0625_m16_qp_22,3,151,"Thediagramshowsanobjectmovingataconstantspeedinacircularpathinthedirection
",0
0625_m16_qp_22_07,"7  A spring obeys Hooke’s law. 
 
",49.60629,87.87531718,7,A spring obeys Hooke’s law   Which graph is obtained by plotting the exten sion of the spring against the load applied?   extension  loadB extension  loadC extension  loadDextension  loadA  ,0625_m16_qp_22,4,151,"AspringobeysHooke’slaw.

",0
0625_m16_qp_22_08,"8  Which is the value of a vector quantity? 
",49.60782022,447.1098828,8,"Which is the value of a vector quantity? A      V B      kg  / m  C     m  / s, east D     J / (kg  °C) ",0625_m16_qp_22,4,220,"Whichisthevalueofavectorquantity?
",0
0625_m16_qp_22_09,"9  The table gives four energy sources and states whether the energy of the source is derived from 
",49.60663574,574.4706364,9,The table gives four energy sources and states whether the energy of the source is derived from the Sun   Which row is correct?   source of energy derived from the Sun  A geothermal yes  B oil no  C water held behind a dam yes  D wind no      © UCLES          /  /F/M/   [Turn over,0625_m16_qp_22,4,170,"Thetablegivesfourenergysourcesandstateswhethertheenergyofthesourceisderivedfrom
",0
0625_m16_qp_22_10,"10  A weight-lifter raises a 2000 N weight through a vertical height of 2.0 m in 0.80 s. 
 
",49.60629,87.87531718,10,A weight-lifter raises a       N weight through a vertical height of      m in       s   What useful power does he develop in doing this? A      W B       W C       W D       W ,0625_m16_qp_22,5,170,"Aweight-lifterraisesaNweightthroughaverticalheightof.min.s.

",0
0625_m16_qp_22_11,"11  A wind turbine generates 54 kW of useful power from an input of 180 kW of wind power. 
 
",49.6072643,174.7572272,11,A wind turbine generates     kW of useful power from an input of      kW of wind power   Which calculation gives the percentage efficiency of the turbine? A                     × % B                     × % C                    × % D                    × % ,0625_m16_qp_22,5,170,"AwindturbinegenerateskWofusefulpowerfromaninputofkWofwindpower.

",0
0625_m16_qp_22_12,"12  A force acts on an area to produce a pressure. 
 
",49.60617118,392.0045436,12,A force acts on an area to produce a pressure   Which changes produce the same pressure? A double the area and double the force B double the area and halve the force C double the area and make the force four times bigger D halve the area and double the force     © UCLES          /  /F/M/  ,0625_m16_qp_22,5,180,"Aforceactsonanareatoproduceapressure.

",0
0625_m16_qp_22_13,"13  Identical toy bricks are placed one on top of another to make a tower on a table. 
 
",49.60629,87.87531718,13,Identical toy bricks are placed one on top of another to make a tower on a table    bricks tower of bricks table   Which graph shows the relationship between the pressure P that the tower exerts on the table and the weight W of the tower?   APW  BPW  CPW  DPW    ,0625_m16_qp_22,6,180,"Identicaltoybricksareplacedoneontopofanothertomakeatoweronatable.

",0
0625_m16_qp_22_14,"14  Gases can be compressed, but liquids cannot. 
 
",49.60782602,401.0469678,14,"Gases can be compressed, but liquids cannot   Which statement explains this difference? A Each molecule in a gas is more compressible than each molecule in a liquid  B Molecules in a gas are further apart than molecules in a liquid  C Molecules in a gas attract each other more strongly than molecules in a liquid  D Molecules in a gas move more slowly than molecules in a liquid      © UCLES          /  /F/M/   [Turn over",0625_m16_qp_22,6,210,"Gasescanbecompressed,butliquidscannot.

",0
0625_m16_qp_22_15,"15  The diagram shows a quantity of gas trapped in a cylinder. The piston is pushed in slowly and the 
",49.60629,75.2325464,15,The diagram shows a quantity of gas trapped in a cylinder  The piston is pushed in slowly and the gas is compressed  The temperature of the gas does not change    gaspistonpiston pushed in   Which graph shows the relationship between the pressure and the volume of the gas?   Apressure volume  Bpressure volume   Cpressure volume  Dpressure volume    ,0625_m16_qp_22,7,210,"Thediagramshowsaquantityofgastrappedinacylinder.Thepistonispushedinslowlyandthe
",0
0625_m16_qp_22_16,"16  Which quantity gives the thermal capacity of a solid object? 
",49.60785456,571.4090728,16,Which quantity gives the thermal capacity of a solid object? A the energy lost by radiation from the object in      s B the energy needed to melt the object C the energy needed to raise the temperature of the object by      °C D the total amount of thermal energy in the object     © UCLES          /  /F/M/  ,0625_m16_qp_22,7,220,"Whichquantitygivesthethermalcapacityofasolidobject?
",0
0625_m16_qp_22_17,"17  To mark a temperature scale on a thermometer, standard temperatures known as fixed points are 
",49.60629,75.2325464,17,"To mark a temperature scale on a thermometer, standard temperatures known as fixed points are needed   Which of these is a fixed point on the Celsius scale? A room temperature B the temperature inside a freezer C the temperature of pure melting ice D the temperature of pure warm water ",0625_m16_qp_22,8,220,"Tomarkatemperaturescaleonathermometer,standardtemperaturesknownasfixedpointsare
",0
0625_m16_qp_22_18,"18  In an experiment, a liquid is heated at a constant rate. 
 
",49.60629,252.371457,18,"In an experiment, a liquid is heated at a constant rate   The temperature of the liquid increases and eventually becomes constant   Which statement about the experiment is correct? A Boiling occurs at all temperatures but only on the liquid surface  B Boiling occurs throughout the liquid but only at the constant temperature  C Evaporation occurs throughout the liquid and at all temperatures  D Evaporation occurs only at the constant temperature and only on the liquid surface  ",0625_m16_qp_22,8,220,"Inanexperiment,aliquidisheatedataconstantrate.

",0
0625_m16_qp_22_19,"19  One end of a copper rod is heated. 
 
",49.60629,429.5113574,19,One end of a copper rod is heated   What is one method by which thermal energy is transferred in the copper rod? A Free electrons transfer energy from the cooler end to the hotter end  B Free electrons transfer energy from the hotter end to the cooler end  C Molecules of copper move from the cooler end to the hotter end  D Molecules of copper move from the hotter end to the cooler end      © UCLES          /  /F/M/   [Turn over,0625_m16_qp_22,8,230,"Oneendofacopperrodisheated.

",0
0625_m16_qp_22_20,"20  Two plastic cups are placed one inside the other. A small spacer keeps the two cups separated. 
 
 
 
",49.60629,113.1608588,20,"Two plastic cups are placed one inside the other  A small spacer keeps the two cups separated    Hot water is poured into the inner cup and a lid is put on top, as shown    lid small spacer small air gap hot water bench   Which statement is correct? A The bench is heated by convection from the bottom of the outer cup  B The lid reduces the energy lost by convection  C There is no thermal conduction through the sides of either cup  D Thermal radiation is prevented by the small air gap  ",0625_m16_qp_22,9,230,"Twoplasticcupsareplacedoneinsidetheother.Asmallspacerkeepsthetwocupsseparated.



",0
0625_m16_qp_22_21,"21  Which is a unit of wavelength? 
",49.60775456,450.0015337,21,Which is a unit of wavelength? A hertz B metre C metre per second D second     © UCLES          /  /F/M/  ,0625_m16_qp_22,9,310,"Whichisaunitofwavelength?
",0
0625_m16_qp_22_22,"22  Which diagram correctly shows a ray of light reflected by a plane mirror? 
 
B
",49.60629,97.4852,22,Which diagram correctly shows a ray of light reflected by a plane mirror?     °ray oflight  °A   °ray oflight  °B   °  °ray oflightCray oflight  °  ° D       © UCLES          /  /F/M/   [Turn over,0625_m16_qp_22,10,320,"Whichdiagramcorrectlyshowsarayoflightreflectedbyaplanemirror?

B
",0
0625_m16_qp_22_23,"23  Which diagram shows how a converging lens is used as a magnifying glass? 
 
",49.60629,87.87531718,23,Which diagram shows how a converging lens is used as a magnifying glass?   lensF A BF objectimage lensF CF objectimage D lensF FobjectimagelensF Fimageobject       © UCLES          /  /F/M/  ,0625_m16_qp_22,11,320,"Whichdiagramshowshowaconverginglensisusedasamagnifyingglass?

",0
0625_m16_qp_22_24,"24  A sound wave travels from a point X to a point Y. 
 
",49.60629,87.87531718,24,"A sound wave travels from a point X to a point Y    X Y  Which diagram represents the movement of the air molecules, due to the sound wave, in the region between X and Y?   DCB A  ",0625_m16_qp_22,12,340,"AsoundwavetravelsfromapointXtoapointY.

",0
