question_id,answer,question_file
0625_s13_qp_11_19,D,0625_s13_ms_11
0625_s13_qp_11_20,C,0625_s13_ms_11
0625_s13_qp_11_21,B,0625_s13_ms_11
0625_s13_qp_11_22,A,0625_s13_ms_11
0625_s13_qp_11_23,A,0625_s13_ms_11
0625_s13_qp_11_24,D,0625_s13_ms_11
0625_s13_qp_11_25,B,0625_s13_ms_11
0625_s13_qp_11_26,B,0625_s13_ms_11
0625_s13_qp_11_27,A,0625_s13_ms_11
0625_s13_qp_11_28,C,0625_s13_ms_11
0625_s13_qp_11_29,B,0625_s13_ms_11
0625_s13_qp_11_30,C,0625_s13_ms_11
0625_s13_qp_11_31,D,0625_s13_ms_11
0625_s13_qp_11_32,D,0625_s13_ms_11
0625_s13_qp_11_33,A,0625_s13_ms_11
0625_s13_qp_11_34,D,0625_s13_ms_11
0625_s13_qp_11_35,C,0625_s13_ms_11
0625_s13_qp_11_36,C,0625_s13_ms_11
0625_s13_qp_11_37,D,0625_s13_ms_11
0625_s13_qp_11_38,B,0625_s13_ms_11
0625_s13_qp_11_39,C,0625_s13_ms_11
0625_s13_qp_11_40,C,0625_s13_ms_11
0625_s13_qp_12_01,D,0625_s13_ms_12
0625_s13_qp_12_02,D,0625_s13_ms_12
0625_s13_qp_12_03,B,0625_s13_ms_12
0625_s13_qp_12_04,B,0625_s13_ms_12
0625_s13_qp_12_05,C,0625_s13_ms_12
0625_s13_qp_12_06,A,0625_s13_ms_12
0625_s13_qp_12_07,B,0625_s13_ms_12
0625_s13_qp_12_08,C,0625_s13_ms_12
0625_s13_qp_12_09,C,0625_s13_ms_12
0625_s13_qp_12_10,A,0625_s13_ms_12
0625_s13_qp_12_11,C,0625_s13_ms_12
0625_s13_qp_12_12,A,0625_s13_ms_12
0625_s13_qp_12_13,D,0625_s13_ms_12
0625_s13_qp_12_14,B,0625_s13_ms_12
0625_s13_qp_12_15,A,0625_s13_ms_12
0625_s13_qp_12_16,C,0625_s13_ms_12
0625_s13_qp_12_17,D,0625_s13_ms_12
0625_s13_qp_12_18,C,0625_s13_ms_12
0625_s13_qp_12_19,A,0625_s13_ms_12
0625_s13_qp_12_20,C,0625_s13_ms_12
0625_s13_qp_12_21,A,0625_s13_ms_12
0625_s13_qp_12_22,B,0625_s13_ms_12
0625_s13_qp_12_23,A,0625_s13_ms_12
0625_s13_qp_12_24,D,0625_s13_ms_12
0625_s13_qp_12_25,A,0625_s13_ms_12
0625_s13_qp_12_26,A,0625_s13_ms_12
0625_s13_qp_12_27,D,0625_s13_ms_12
0625_s13_qp_12_28,C,0625_s13_ms_12
0625_s13_qp_12_29,C,0625_s13_ms_12
0625_s13_qp_12_30,A,0625_s13_ms_12
0625_s13_qp_12_31,D,0625_s13_ms_12
0625_s13_qp_12_32,C,0625_s13_ms_12
0625_s13_qp_12_33,B,0625_s13_ms_12
0625_s13_qp_12_34,A,0625_s13_ms_12
0625_s13_qp_12_35,B,0625_s13_ms_12
0625_s13_qp_12_36,C,0625_s13_ms_12
0625_s13_qp_12_37,D,0625_s13_ms_12
0625_s13_qp_12_38,D,0625_s13_ms_12
0625_s13_qp_12_39,C,0625_s13_ms_12
0625_s13_qp_12_40,A,0625_s13_ms_12
0625_s13_qp_13_01,B,0625_s13_ms_13
0625_s13_qp_13_02,B,0625_s13_ms_13
0625_s13_qp_13_03,A,0625_s13_ms_13
0625_s13_qp_13_04,D,0625_s13_ms_13
0625_s13_qp_13_05,B,0625_s13_ms_13
0625_s13_qp_13_06,B,0625_s13_ms_13
0625_s13_qp_13_07,A,0625_s13_ms_13
0625_s13_qp_13_08,C,0625_s13_ms_13
0625_s13_qp_13_09,C,0625_s13_ms_13
0625_s13_qp_13_10,D,0625_s13_ms_13
0625_s13_qp_13_11,C,0625_s13_ms_13
0625_s13_qp_13_12,B,0625_s13_ms_13
0625_s13_qp_13_13,D,0625_s13_ms_13
0625_s13_qp_13_14,A,0625_s13_ms_13
0625_s13_qp_13_15,B,0625_s13_ms_13
0625_s13_qp_13_16,C,0625_s13_ms_13
0625_s13_qp_13_17,C,0625_s13_ms_13
0625_s13_qp_13_18,D,0625_s13_ms_13
0625_s13_qp_13_19,D,0625_s13_ms_13
0625_s13_qp_13_20,B,0625_s13_ms_13
0625_s13_qp_13_21,C,0625_s13_ms_13
0625_s13_qp_13_22,A,0625_s13_ms_13
0625_s13_qp_13_23,A,0625_s13_ms_13
0625_s13_qp_13_24,D,0625_s13_ms_13
0625_s13_qp_13_25,A,0625_s13_ms_13
0625_s13_qp_13_26,B,0625_s13_ms_13
0625_s13_qp_13_27,B,0625_s13_ms_13
0625_s13_qp_13_28,C,0625_s13_ms_13
0625_s13_qp_13_29,C,0625_s13_ms_13
0625_s13_qp_13_30,D,0625_s13_ms_13
0625_s13_qp_13_31,B,0625_s13_ms_13
0625_s13_qp_13_32,A,0625_s13_ms_13
0625_s13_qp_13_33,D,0625_s13_ms_13
0625_s13_qp_13_34,D,0625_s13_ms_13
0625_s13_qp_13_35,C,0625_s13_ms_13
0625_s13_qp_13_36,C,0625_s13_ms_13
0625_s13_qp_13_37,B,0625_s13_ms_13
0625_s13_qp_13_38,D,0625_s13_ms_13
0625_s13_qp_13_39,C,0625_s13_ms_13
0625_s13_qp_13_40,C,0625_s13_ms_13
0625_s14_qp_11_01,C,0625_s14_ms_11
0625_s14_qp_11_02,D,0625_s14_ms_11
0625_s14_qp_11_03,C,0625_s14_ms_11
0625_s14_qp_11_04,A,0625_s14_ms_11
0625_s14_qp_11_05,B,0625_s14_ms_11
0625_s14_qp_11_06,B,0625_s14_ms_11
0625_s14_qp_11_07,D,0625_s14_ms_11
0625_s14_qp_11_08,A,0625_s14_ms_11
0625_s14_qp_11_09,C,0625_s14_ms_11
0625_s14_qp_11_10,D,0625_s14_ms_11
0625_s14_qp_11_11,A,0625_s14_ms_11
0625_s14_qp_11_12,C,0625_s14_ms_11
0625_s14_qp_11_13,A,0625_s14_ms_11
0625_s14_qp_11_14,D,0625_s14_ms_11
0625_s14_qp_11_15,C,0625_s14_ms_11
0625_s14_qp_11_16,D,0625_s14_ms_11
0625_s14_qp_11_17,D,0625_s14_ms_11
0625_s14_qp_11_18,A,0625_s14_ms_11
0625_s14_qp_11_19,A,0625_s14_ms_11
0625_s14_qp_11_20,A,0625_s14_ms_11
0625_s14_qp_11_21,B,0625_s14_ms_11
0625_s14_qp_11_22,B,0625_s14_ms_11
0625_s14_qp_11_23,B,0625_s14_ms_11
0625_s14_qp_11_24,C,0625_s14_ms_11
0625_s14_qp_11_25,A,0625_s14_ms_11
0625_s14_qp_11_26,B,0625_s14_ms_11
0625_s14_qp_11_27,C,0625_s14_ms_11
0625_s14_qp_11_28,C,0625_s14_ms_11
0625_s14_qp_11_29,A,0625_s14_ms_11
0625_s14_qp_11_30,C,0625_s14_ms_11
0625_s14_qp_11_31,B,0625_s14_ms_11
0625_s14_qp_11_32,B,0625_s14_ms_11
0625_s14_qp_11_33,B,0625_s14_ms_11
0625_s14_qp_11_34,A,0625_s14_ms_11
0625_s14_qp_11_35,B,0625_s14_ms_11
0625_s14_qp_11_36,D,0625_s14_ms_11
0625_s14_qp_11_37,B,0625_s14_ms_11
0625_s14_qp_11_38,C,0625_s14_ms_11
0625_s14_qp_11_39,C,0625_s14_ms_11
0625_s14_qp_11_40,C,0625_s14_ms_11
0625_s14_qp_12_01,B,0625_s14_ms_12
0625_s14_qp_12_02,D,0625_s14_ms_12
0625_s14_qp_12_03,C,0625_s14_ms_12
0625_s14_qp_12_04,D,0625_s14_ms_12
0625_s14_qp_12_05,B,0625_s14_ms_12
0625_s14_qp_12_06,A,0625_s14_ms_12
0625_s14_qp_12_07,D,0625_s14_ms_12
0625_s14_qp_12_08,C,0625_s14_ms_12
0625_s14_qp_12_09,C,0625_s14_ms_12
0625_s14_qp_12_10,B,0625_s14_ms_12
0625_s14_qp_12_11,A,0625_s14_ms_12
0625_s14_qp_12_12,C,0625_s14_ms_12
0625_s14_qp_12_13,A,0625_s14_ms_12
0625_s14_qp_12_14,C,0625_s14_ms_12
0625_s14_qp_12_15,B,0625_s14_ms_12
0625_s14_qp_12_16,C,0625_s14_ms_12
0625_s14_qp_12_17,B,0625_s14_ms_12
0625_s14_qp_12_18,D,0625_s14_ms_12
0625_s14_qp_12_19,A,0625_s14_ms_12
0625_s14_qp_12_20,A,0625_s14_ms_12
0625_s14_qp_12_21,D,0625_s14_ms_12
0625_s14_qp_12_22,A,0625_s14_ms_12
0625_s14_qp_12_23,B,0625_s14_ms_12
0625_s14_qp_12_24,A,0625_s14_ms_12
0625_s14_qp_12_25,C,0625_s14_ms_12
0625_s14_qp_12_26,C,0625_s14_ms_12
0625_s14_qp_12_27,B,0625_s14_ms_12
0625_s14_qp_12_28,B,0625_s14_ms_12
0625_s14_qp_12_29,C,0625_s14_ms_12
0625_s14_qp_12_30,B,0625_s14_ms_12
0625_s14_qp_12_31,C,0625_s14_ms_12
0625_s14_qp_12_32,D,0625_s14_ms_12
0625_s14_qp_12_33,B,0625_s14_ms_12
0625_s14_qp_12_34,D,0625_s14_ms_12
0625_s14_qp_12_35,A,0625_s14_ms_12
0625_s14_qp_12_36,A,0625_s14_ms_12
0625_s14_qp_12_37,B,0625_s14_ms_12
0625_s14_qp_12_38,B,0625_s14_ms_12
0625_s14_qp_12_39,C,0625_s14_ms_12
0625_s14_qp_12_40,A,0625_s14_ms_12
0625_s14_qp_13_01,A,0625_s14_ms_13
0625_s14_qp_13_02,C,0625_s14_ms_13
0625_s14_qp_13_03,D,0625_s14_ms_13
0625_s14_qp_13_04,C,0625_s14_ms_13
0625_s14_qp_13_05,D,0625_s14_ms_13
0625_s14_qp_13_06,B,0625_s14_ms_13
0625_s14_qp_13_07,D,0625_s14_ms_13
0625_s14_qp_13_08,A,0625_s14_ms_13
0625_s14_qp_13_09,B,0625_s14_ms_13
0625_s14_qp_13_10,C,0625_s14_ms_13
0625_s14_qp_13_11,A,0625_s14_ms_13
0625_s14_qp_13_12,D,0625_s14_ms_13
0625_s14_qp_13_13,D,0625_s14_ms_13
0625_s14_qp_13_14,C,0625_s14_ms_13
0625_s14_qp_13_15,D,0625_s14_ms_13
0625_s14_qp_13_16,A,0625_s14_ms_13
0625_s14_qp_13_17,C,0625_s14_ms_13
0625_s14_qp_13_18,B,0625_s14_ms_13
0625_s14_qp_13_19,C,0625_s14_ms_13
0625_s14_qp_13_20,A,0625_s14_ms_13
0625_s14_qp_13_21,A,0625_s14_ms_13
0625_s14_qp_13_22,A,0625_s14_ms_13
0625_s14_qp_13_23,B,0625_s14_ms_13
0625_s14_qp_13_24,B,0625_s14_ms_13
0625_s14_qp_13_25,C,0625_s14_ms_13
0625_s14_qp_13_26,C,0625_s14_ms_13
0625_s14_qp_13_27,B,0625_s14_ms_13
0625_s14_qp_13_28,B,0625_s14_ms_13
0625_s14_qp_13_29,C,0625_s14_ms_13
0625_s14_qp_13_30,A,0625_s14_ms_13
0625_s14_qp_13_31,B,0625_s14_ms_13
0625_s14_qp_13_32,A,0625_s14_ms_13
0625_s14_qp_13_33,B,0625_s14_ms_13
0625_s14_qp_13_34,B,0625_s14_ms_13
0625_s14_qp_13_35,A,0625_s14_ms_13
0625_s14_qp_13_36,D,0625_s14_ms_13
0625_s14_qp_13_37,C,0625_s14_ms_13
0625_s14_qp_13_38,C,0625_s14_ms_13
0625_s14_qp_13_39,C,0625_s14_ms_13
0625_s14_qp_13_40,B,0625_s14_ms_13
0625_s15_qp_11_01,B,0625_s15_ms_11
0625_s15_qp_11_02,C,0625_s15_ms_11
0625_s15_qp_11_03,B,0625_s15_ms_11
0625_s15_qp_11_04,D,0625_s15_ms_11
0625_s15_qp_11_05,D,0625_s15_ms_11
0625_s15_qp_11_06,B,0625_s15_ms_11
0625_s15_qp_11_07,D,0625_s15_ms_11
0625_s15_qp_11_08,D,0625_s15_ms_11
0625_s15_qp_11_09,A,0625_s15_ms_11
0625_s15_qp_11_10,C,0625_s15_ms_11
0625_s15_qp_11_11,C,0625_s15_ms_11
0625_s15_qp_11_12,A,0625_s15_ms_11
0625_s15_qp_11_13,C,0625_s15_ms_11
0625_s15_qp_11_14,D,0625_s15_ms_11
0625_s15_qp_11_15,C,0625_s15_ms_11
0625_s15_qp_11_16,C,0625_s15_ms_11
0625_s15_qp_11_17,B,0625_s15_ms_11
0625_s15_qp_11_18,B,0625_s15_ms_11
0625_s15_qp_11_19,D,0625_s15_ms_11
0625_s15_qp_11_20,C,0625_s15_ms_11
0625_s15_qp_11_21,A,0625_s15_ms_11
0625_s15_qp_11_22,C,0625_s15_ms_11
0625_s15_qp_11_23,C,0625_s15_ms_11
0625_s15_qp_11_24,B,0625_s15_ms_11
0625_s15_qp_11_25,A,0625_s15_ms_11
0625_s15_qp_11_26,A,0625_s15_ms_11
0625_s15_qp_11_27,A,0625_s15_ms_11
0625_s15_qp_11_28,C,0625_s15_ms_11
0625_s15_qp_11_29,A,0625_s15_ms_11
0625_s15_qp_11_30,B,0625_s15_ms_11
0625_s15_qp_11_31,A,0625_s15_ms_11
0625_s15_qp_11_32,C,0625_s15_ms_11
0625_s15_qp_11_33,A,0625_s15_ms_11
0625_s15_qp_11_34,D,0625_s15_ms_11
0625_s15_qp_11_35,C,0625_s15_ms_11
0625_s15_qp_11_36,C,0625_s15_ms_11
0625_s15_qp_11_37,A,0625_s15_ms_11
0625_s15_qp_11_38,C,0625_s15_ms_11
0625_s15_qp_11_39,B,0625_s15_ms_11
0625_s15_qp_11_40,C,0625_s15_ms_11
0625_s15_qp_12_01,B,0625_s15_ms_12
0625_s15_qp_12_02,D,0625_s15_ms_12
0625_s15_qp_12_03,B,0625_s15_ms_12
0625_s15_qp_12_04,B,0625_s15_ms_12
0625_s15_qp_12_05,D,0625_s15_ms_12
0625_s15_qp_12_06,C,0625_s15_ms_12
0625_s15_qp_12_07,C,0625_s15_ms_12
0625_s15_qp_12_08,D,0625_s15_ms_12
0625_s15_qp_12_09,A,0625_s15_ms_12
0625_s15_qp_12_10,C,0625_s15_ms_12
0625_s15_qp_12_11,C,0625_s15_ms_12
0625_s15_qp_12_12,A,0625_s15_ms_12
0625_s15_qp_12_13,A,0625_s15_ms_12
0625_s15_qp_12_14,D,0625_s15_ms_12
0625_s15_qp_12_15,D,0625_s15_ms_12
0625_s15_qp_12_16,C,0625_s15_ms_12
0625_s15_qp_12_17,B,0625_s15_ms_12
0625_s15_qp_12_18,D,0625_s15_ms_12
0625_s15_qp_12_19,D,0625_s15_ms_12
0625_s15_qp_12_20,A,0625_s15_ms_12
0625_s15_qp_12_21,A,0625_s15_ms_12
0625_s15_qp_12_22,C,0625_s15_ms_12
0625_s15_qp_12_23,A,0625_s15_ms_12
0625_s15_qp_12_24,B,0625_s15_ms_12
0625_s15_qp_12_25,B,0625_s15_ms_12
0625_s15_qp_12_26,A,0625_s15_ms_12
0625_s15_qp_12_27,D,0625_s15_ms_12
0625_s15_qp_12_28,D,0625_s15_ms_12
0625_s15_qp_12_29,D,0625_s15_ms_12
0625_s15_qp_12_30,B,0625_s15_ms_12
0625_s15_qp_12_31,A,0625_s15_ms_12
0625_s15_qp_12_32,C,0625_s15_ms_12
0625_s15_qp_12_33,A,0625_s15_ms_12
0625_s15_qp_12_34,C,0625_s15_ms_12
0625_s15_qp_12_35,D,0625_s15_ms_12
0625_s15_qp_12_36,D,0625_s15_ms_12
0625_s15_qp_12_37,B,0625_s15_ms_12
0625_s15_qp_12_38,C,0625_s15_ms_12
0625_s15_qp_12_39,C,0625_s15_ms_12
0625_s15_qp_12_40,A,0625_s15_ms_12
0625_s15_qp_13_01,A,0625_s15_ms_13
0625_s15_qp_13_02,A,0625_s15_ms_13
0625_s15_qp_13_03,B,0625_s15_ms_13
0625_s15_qp_13_04,B,0625_s15_ms_13
0625_s15_qp_13_05,D,0625_s15_ms_13
0625_s15_qp_13_06,A,0625_s15_ms_13
0625_s15_qp_13_07,D,0625_s15_ms_13
0625_s15_qp_13_08,A,0625_s15_ms_13
0625_s15_qp_13_09,A,0625_s15_ms_13
0625_s15_qp_13_10,D,0625_s15_ms_13
0625_s15_qp_13_11,A,0625_s15_ms_13
0625_s15_qp_13_12,A,0625_s15_ms_13
0625_s15_qp_13_13,C,0625_s15_ms_13
0625_s15_qp_13_14,D,0625_s15_ms_13
0625_s15_qp_13_15,B,0625_s15_ms_13
0625_s15_qp_13_16,D,0625_s15_ms_13
0625_s15_qp_13_17,B,0625_s15_ms_13
0625_s15_qp_13_18,C,0625_s15_ms_13
0625_s15_qp_13_19,D,0625_s15_ms_13
0625_s15_qp_13_20,A,0625_s15_ms_13
0625_s15_qp_13_21,A,0625_s15_ms_13
0625_s15_qp_13_22,C,0625_s15_ms_13
0625_s15_qp_13_23,B,0625_s15_ms_13
0625_s15_qp_13_24,B,0625_s15_ms_13
0625_s15_qp_13_25,B,0625_s15_ms_13
0625_s15_qp_13_26,A,0625_s15_ms_13
0625_s15_qp_13_27,D,0625_s15_ms_13
0625_s15_qp_13_28,C,0625_s15_ms_13
0625_s15_qp_13_29,C,0625_s15_ms_13
0625_s15_qp_13_30,B,0625_s15_ms_13
0625_s15_qp_13_31,C,0625_s15_ms_13
0625_s15_qp_13_32,C,0625_s15_ms_13
0625_s15_qp_13_33,A,0625_s15_ms_13
0625_s15_qp_13_34,C,0625_s15_ms_13
0625_s15_qp_13_35,B,0625_s15_ms_13
0625_s15_qp_13_36,B,0625_s15_ms_13
0625_s15_qp_13_37,C,0625_s15_ms_13
0625_s15_qp_13_38,A,0625_s15_ms_13
0625_s15_qp_13_39,C,0625_s15_ms_13
0625_s15_qp_13_40,D,0625_s15_ms_13
0625_s15_qp_14_01,D,0625_s15_ms_14
0625_s15_qp_14_02,B,0625_s15_ms_14
0625_s15_qp_14_03,A,0625_s15_ms_14
0625_s15_qp_14_04,B,0625_s15_ms_14
0625_s15_qp_14_05,C,0625_s15_ms_14
0625_s15_qp_14_06,A,0625_s15_ms_14
0625_s15_qp_14_07,D,0625_s15_ms_14
0625_s15_qp_14_08,B,0625_s15_ms_14
0625_s15_qp_14_09,B,0625_s15_ms_14
0625_s15_qp_14_10,C,0625_s15_ms_14
0625_s15_qp_14_11,A,0625_s15_ms_14
0625_s15_qp_14_12,D,0625_s15_ms_14
0625_s15_qp_14_13,C,0625_s15_ms_14
0625_s15_qp_14_14,B,0625_s15_ms_14
0625_s15_qp_14_15,B,0625_s15_ms_14
0625_s15_qp_14_16,D,0625_s15_ms_14
0625_s15_qp_14_17,C,0625_s15_ms_14
0625_s15_qp_14_18,D,0625_s15_ms_14
0625_s15_qp_14_19,D,0625_s15_ms_14
0625_s15_qp_14_20,B,0625_s15_ms_14
0625_s15_qp_14_21,A,0625_s15_ms_14
0625_s15_qp_14_22,D,0625_s15_ms_14
0625_s15_qp_14_23,D,0625_s15_ms_14
0625_s15_qp_14_24,D,0625_s15_ms_14
0625_s15_qp_14_25,C,0625_s15_ms_14
0625_s15_qp_14_26,B,0625_s15_ms_14
0625_s15_qp_14_27,D,0625_s15_ms_14
0625_s15_qp_14_28,C,0625_s15_ms_14
0625_s15_qp_14_29,C,0625_s15_ms_14
0625_s15_qp_14_30,C,0625_s15_ms_14
0625_s15_qp_14_31,C,0625_s15_ms_14
0625_s15_qp_14_32,D,0625_s15_ms_14
0625_s15_qp_14_33,C,0625_s15_ms_14
0625_s15_qp_14_34,B,0625_s15_ms_14
0625_s15_qp_14_35,B,0625_s15_ms_14
0625_s15_qp_14_36,C,0625_s15_ms_14
0625_s15_qp_14_37,B,0625_s15_ms_14
0625_s15_qp_14_38,D,0625_s15_ms_14
0625_s15_qp_14_39,A,0625_s15_ms_14
0625_s15_qp_14_40,C,0625_s15_ms_14
0625_s16_qp_21_01,A,0625_s16_ms_21
0625_s16_qp_21_02,A,0625_s16_ms_21
0625_s16_qp_21_03,A,0625_s16_ms_21
0625_s16_qp_21_04,D,0625_s16_ms_21
0625_s16_qp_21_05,A,0625_s16_ms_21
0625_s16_qp_21_06,C,0625_s16_ms_21
0625_s16_qp_21_07,B,0625_s16_ms_21
0625_s16_qp_21_08,C,0625_s16_ms_21
0625_s16_qp_21_09,B,0625_s16_ms_21
0625_s16_qp_21_10,C,0625_s16_ms_21
0625_s16_qp_21_11,C,0625_s16_ms_21
0625_s16_qp_21_12,D,0625_s16_ms_21
0625_s16_qp_21_13,B,0625_s16_ms_21
0625_s16_qp_21_14,A,0625_s16_ms_21
0625_s16_qp_21_15,C,0625_s16_ms_21
0625_s16_qp_21_16,C,0625_s16_ms_21
0625_s16_qp_21_17,D,0625_s16_ms_21
